SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
White Spruce,FCTEM2001093PGP,23.2,14.8,103.2,14.76,18.04,22.15
White Spruce,ACH_CPGP,33.5,28.2,373.7,41.81,21.14,35.14
White Spruce,FCTEM2001118PGP,7,5.18,4.321,0.9782,3.34,1.882
White Spruce,COC2019001PSP,6.1,4.5,2.943,0.7069,2.814,1.444
White Spruce,CHA1995012PSP,12.1,8.3,18.26,3.361,7.28,5.846
White Spruce,CE0071PSP,38.4,26.5,449.5,50.62,31.34,54.93
White Spruce,FCTEM2003046PGP,15.5,12.9,43.76,6.81,8.044,7.932
White Spruce,FCBUC_LH200706PGP,23.5,10.3,74.2,11.92,27.81,31.99
White Spruce,FCBOW56-021-0PGP,18.7,10.4,49.7,8.141,15.97,16.51
White Spruce,BP1993040PSP,29.2,21.03,219.5,27.38,21.11,31.01
Black Spruce,TBP1992006PSP,7.7,7.6,8.429,1.528,2.44,1.636
Black Spruce,1314886PIP,26.8,20.3,200.6,25.58,15.76,23.47
Black Spruce,FCTEM_KAP2000046PGP,21,16.27,104.8,14.46,11.39,14.53
Black Spruce,LSJP1993012PSP,16.6,11.05,47.13,7.443,10.56,11.72
Black Spruce,FCWEY_KEN2003016PGP,13.6,14.01,42.15,6.152,4.566,4.369
Black Spruce,FCTEM2003074PGP,25.2,22.01,195.3,24.24,12.04,17.12
Black Spruce,LSJP1994003PSP,4.6,5.11,2.296,0.4797,1.115,0.5375
Black Spruce,SUD2004003PGP,7.1,5.22,5.019,1.036,3.313,2.143
Black Spruce,GCF1994008PGP,25.4,18.54,166.8,21.95,15.54,22.42
Black Spruce,CHA1995002PSP,5,5.2,2.704,0.5611,1.35,0.6878
Black Spruce,BP1993015PSP,9.2,7.42,11.24,2.05,3.987,3.021
Black Spruce,1170511PIP,8.1,6.3,7.633,1.474,3.594,2.518
Black Spruce,1211956PIP,11.5,10.4,23.31,3.775,4.46,3.865
Black Spruce,1143071PIP,18.8,12,63.66,9.76,13.0,15.62
Black Spruce,1184261PIP,30.3,27,331.0,38.22,14.63,23.33
Black Spruce,FCTEM2002012PGP,27.2,17.64,178.9,23.93,19.85,30.07
Black Spruce,KLK1994043PSP,9.4,8.7,13.69,2.363,3.388,2.584
Black Spruce,FCWEY_KEN2003021PGP,20.4,16.8,102.9,14.04,10.12,12.63
Black Spruce,FCBOW78-003-0PGP,29.8,19.4,230.9,29.86,22.04,35.36
Black Spruce,FCBOW12-167-4PGP,28.2,22.49,243.0,29.9,15.61,23.95
Black Spruce,FCACI_KE200005PGP,13.8,13.85,42.74,6.263,4.817,4.657
Black Spruce,FCBOW56-2006-06PGP,27.2,21.84,221.5,27.54,14.81,22.2
Black Spruce,FCABI200322PGP,22.7,19.1,141.1,18.4,11.17,14.91
Black Spruce,FCWEY4S2001067PGP,3.7,3.64,1.116,0.2626,1.013,0.4285
Red Spruce,HEM_LAWR130PGP,24.1,20,180.9,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,21.5,18.6,135.4,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,39.7,23,500.2,NotAv,NotAv,NotAv
Red Spruce,HEM_LAWR228PGP,40,14,251.9,NotAv,NotAv,NotAv
Red Spruce,HEM_LAWR228PGP,43.4,22.4,558.0,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,23.6,17.3,142.5,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,37.1,19.6,357.4,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,18.7,12.1,58.79,NotAv,NotAv,NotAv
Red Spruce,HEM_PECK614PGP,6.9,5,3.293,NotAv,NotAv,NotAv
Red Spruce,HEM_CLYD204PGP,47.8,7,127.4,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,26.4,17,167.2,NotAv,NotAv,NotAv
Red Spruce,CE1005PSP,3.6,3.8,0.7681,NotAv,NotAv,NotAv
Red Spruce,HEM_LAWR130PGP,9.4,7,8.788,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,14.9,16.4,62.07,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,17.1,16.3,77.17,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,13.1,8.5,19.93,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,21.7,13,83.06,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,29.6,19.1,237.7,NotAv,NotAv,NotAv
Red Spruce,CE1005PSP,3.5,3.43,0.6349,NotAv,NotAv,NotAv
Red Spruce,NOR2013002PSP,25.7,19.6,195.4,NotAv,NotAv,NotAv
Eastern Hemlock,HEM_PENT367PGP,19.4,17,88.65,16.29,10.21,14.99
Eastern Hemlock,HEM_DICK300PGP,27.5,20,199.7,35.21,18.66,35.09
Eastern Hemlock,SR5022PSP,29.3,17.55,201.7,37.56,22.94,44.14
Eastern Hemlock,CE4122PSP,9.9,9.08,14.15,3.183,3.865,3.37
Eastern Hemlock,HEM_DEVI944PGP,44.5,22,547.9,95.92,46.34,120.4
Eastern Hemlock,ARGS060PGP,26.7,17.37,167.1,31.07,19.15,34.66
