BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-22 10:33:54
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
SR0020PSP	8958	1994	N	L	17	30	2.6	5.86	N/A	N/A	N/A	N/A	N/A	N/A
SR0405PSP	8982	1993	N	L	2	86	43.2	30.8	N/A	N/A	N/A	N/A	N/A	N/A
SR0019PSP	8957	1995	N	L	37	40	17.1	17.6	9.4580	3.0122	19.2701	22.2823	66.8896	89.1719
SR1207PSP	9008	2000	N	L	35	90	30.9	26.2	N/A	N/A	N/A	N/A	N/A	N/A
FCWEY_KEN2003016PGP	6495	2003	N	L	240	13	13.6	14.01	5.3346	6.6088	6.4007	13.0095	39.1434	52.1528
1328611PIP	60	2008	N	L	28	42	13.3	6.2	N/A	N/A	N/A	N/A	N/A	N/A
CE5007PSP	8863	2001	N	L	54	41	9.4	11.9	4.2036	1.5875	4.3027	5.8902	26.4645	32.3547
HEM_DICK300PGP	12144	1991	N	L	3	19	12.3	10	4.7922	5.5228	6.3888	11.9116	29.2239	41.1354
SR1001PSP	8985	1992	N	L	93	1196	2.7	5.44	N/A	N/A	N/A	N/A	N/A	N/A
SR4406PSP	9127	1999	N	L	50	46	11.3	13.8	5.1168	2.1708	10.2593	12.4301	40.6996	53.1297
SR0201PSP	8961	1997	N	L	40	50	15.3	14.6	6.4320	2.9296	15.4473	18.3769	52.2677	70.6446
ARGS061PGP	11852	1982	N	L	26	56	9.4	12.8	N/A	N/A	N/A	N/A	N/A	N/A
ARGS266PGP	12056	1982	N	L	28	51	16.3	18.29	10.5364	2.7843	11.8808	14.6651	57.4556	72.1207
SR1023PSP	9000	1995	N	L	70	124	29.5	22.8	N/A	N/A	N/A	N/A	N/A	N/A
SR1401PSP	9018	1992	N	L	31	56	29.6	16.5	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1998	N	L	94	88	29.6	21.9	N/A	N/A	N/A	N/A	N/A	N/A
LD1501PGP	10740	2010	N	L	23	30	6.6	6.6	N/A	N/A	N/A	N/A	N/A	N/A
SR0012PSP	8952	1998	N	L	23	60	60.3	25.9	N/A	N/A	N/A	N/A	N/A	N/A
SR1003PSP	8987	1998	N	L	62	51	57.4	29.7	147.7408	21.8846	198.8495	220.7341	1122.8781	1343.6122
SR2206PSP	9045	1993	N	L	32	44	4.9	7.32	0.4211	0.4907	1.5944	2.0851	6.1248	8.2099
SR0201PSP	8961	1992	N	L	124	94	7.5	10.6	N/A	N/A	N/A	N/A	N/A	N/A
1273811PIP	6795	2013	N	L	76	56	6	6.2	N/A	N/A	N/A	N/A	N/A	N/A
SR5404PSP	9181	2012	N	L	60	177	10.7	14.1	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1992	N	L	73	33	13.4	13.91	5.5854	3.7431	8.7788	12.5220	59.6803	72.2023
GGM1994017PSP	3314	1994	N	L	37	3	32	24.7	24.0397	15.5723	34.1442	49.7165	358.0710	407.7875
CE3030PSP	8789	1999	N	L	6	45	31.3	20.9	41.1246	5.7854	40.5619	46.3473	347.8663	394.2136
SR0206PSP	8966	1998	N	L	47	50	52.7	27.8	139.1784	15.4343	229.7038	245.1381	1253.9507	1499.0888
SR2211PSP	9049	2001	N	L	9	55	22	20.5	N/A	N/A	N/A	N/A	N/A	N/A
CE1027PSP	8732	1993	N	L	4	20	3	2.9	0.1518	0.5258	0.1141	0.6399	0.9000	1.5400
HEM_DICK862PGP	12157	1990	N	L	30	1001	8.5	15	N/A	N/A	N/A	N/A	N/A	N/A
ACH_MPGP	12071	1953	N	L	32	1	26.7	21.3	N/A	N/A	N/A	N/A	N/A	N/A
CE7014PSP	8892	2004	N	L	50	1	4	4.1	N/A	N/A	N/A	N/A	N/A	N/A
LWP1994013PSP	2922	2003	N	L	149	1	19.9	11.49	N/A	N/A	N/A	N/A	N/A	N/A
SR0013PSP	8953	1994	N	L	46	44	16	16.2	5.9561	3.3230	26.2759	29.5989	92.5455	122.1444
SR1213PSP	9014	2000	N	L	25	90	3.3	5.2	N/A	N/A	N/A	N/A	N/A	N/A
FCDOM200139PGP	5390	2006	N	L	19	38	11.7	11.51	5.0077	3.0464	7.2049	10.2512	32.9523	43.2035
SR5020PSP	9158	1999	N	L	32	47	5.9	10.9	1.5850	0.9052	1.1206	2.0258	9.1350	11.1608
BY_MCPGP	3508	2006	N	L	67	139	9.7	12.9	N/A	N/A	N/A	N/A	N/A	N/A
SR0217PSP	8977	2000	N	L	13	78	19.3	14.5	N/A	N/A	N/A	N/A	N/A	N/A
SR5009PSP	9152	1998	N	L	21	111	2.9	5.15	N/A	N/A	N/A	N/A	N/A	N/A
IFF1993009PSP	3361	2018	N	L	205	903	7.8	9.6	N/A	N/A	N/A	N/A	N/A	N/A
SR2220PSP	9052	1994	N	L	26	30	3	5.95	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK598PGP	12146	1991	N	L	11	1001	14	12.5	N/A	N/A	N/A	N/A	N/A	N/A
SR0209PSP	8969	1994	N	L	19	60	17.6	22	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1992	N	L	7	39	52.9	32	N/A	N/A	N/A	N/A	N/A	N/A
SR1001PSP	8985	2007	N	L	93	1196	6.7	10.2	N/A	N/A	N/A	N/A	N/A	N/A
CE1007PSP	8714	1993	N	L	87	1	2.6	3.16	N/A	N/A	N/A	N/A	N/A	N/A
LD0306PGP	10681	2012	N	L	87	1001	8.5	8.4	N/A	N/A	N/A	N/A	N/A	N/A
SR0216PSP	8976	1995	N	L	14	42	43.6	23	N/A	N/A	N/A	N/A	N/A	N/A
SR1401PSP	9018	2012	N	L	22	58	24.8	24.4	24.8001	4.3864	50.6034	54.9897	215.0361	270.0258
CE6205PSP	8875	1999	N	L	23	50	15.1	17.9	6.2250	2.8783	15.0100	17.8882	50.5306	68.4188
KLK1994037PSP	3427	2005	N	L	16	32	5.8	8.05	1.1453	0.7448	1.3799	2.1248	7.3988	9.5236
SR1201PSP	9002	2007	N	L	54	51	28.9	21	35.0257	7.1130	42.8065	49.9194	221.5744	271.4938
NOR2013002PSP	11781	2013	N	L	72	14	39.7	23	48.4366	49.0564	86.1011	135.1575	487.6514	622.8089
ARGS064PGP	11855	1982	N	L	4	32	20.6	19.8	16.1792	5.1124	32.1716	37.2840	138.3011	175.5851
1239491PIP	10556	2017	N	L	72	1005	7.5	9.9	N/A	N/A	N/A	N/A	N/A	N/A
CE3026PSP	8785	1998	N	L	3	32	9.6	13.3	3.2821	1.6020	4.8260	6.4280	23.6651	30.0931
FCACI_FF200401PGP	4548	2004	N	L	73	32	5.8	5.84	1.1453	0.7448	1.3799	2.1248	7.3988	9.5236
FCNEE_KC2000147PGP	5220	2000	N	L	160	73	3.2	4.95	0.3469	0.1820	0.1995	0.3814	1.2313	1.6127
SR0406PSP	8983	1998	N	L	31	40	35.9	25.8	41.2099	11.3455	134.6283	145.9738	365.3762	511.3500
1253101PIP	9	2007	N	L	82	1092	19	13.9	N/A	N/A	N/A	N/A	N/A	N/A
HEM_MCLA192PGP	12213	1991	N	L	13	30	14.2	17	N/A	N/A	N/A	N/A	N/A	N/A
HEM_LAWR228PGP	12201	1991	N	L	13	14	40	14	49.2051	49.9588	88.2504	138.2091	496.0285	634.2376
ARGS053PGP	11844	1977	N	L	11	56	28.7	20.73	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1992	N	L	28	39	32.5	23.4	N/A	N/A	N/A	N/A	N/A	N/A
CE7000PSP	8878	2004	N	L	26	51	7.7	7.85	2.1853	0.8152	2.2175	3.0328	9.8829	12.9157
FCTEM2003074PGP	6045	2003	N	L	67	13	25.2	22.01	21.2761	15.8110	23.1432	38.9541	180.7246	219.6787
SR0204PSP	8964	1993	N	L	30	39	34.4	19	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	2009	N	L	97	88	36.9	22.3	N/A	N/A	N/A	N/A	N/A	N/A
FCDOM200435PGP	5586	2009	N	L	201	12	5.8	4.52	0.6638	2.1103	1.1002	3.2105	3.9967	7.2072
1184171PIP	10327	2016	N	L	41	25	16	10.3	6.0580	4.9518	10.4672	15.4189	61.3883	76.8073
CE4117PSP	8837	1995	N	L	14	56	9.5	10.3	N/A	N/A	N/A	N/A	N/A	N/A
ARGS254PGP	12044	1977	N	L	10	30	10.9	12.5	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	35	5	3.4	3.47	N/A	N/A	N/A	N/A	N/A	N/A
BY_MCPGP	3508	2006	N	L	88	37	8.6	14.3	2.4187	2.2626	5.3853	7.6479	22.4462	30.0941
FCACI200208PGP	4393	2007	N	L	140	20	19.4	16.6	12.1611	11.8649	13.0884	24.9533	78.5551	103.5084
SR5417PSP	9194	1999	N	L	87	170	18.9	20.3	N/A	N/A	N/A	N/A	N/A	N/A
1184326PIP	6594	2012	N	L	113	22	8.3	5	1.0633	1.9323	2.0185	3.9508	8.1212	12.0720
SR0205PSP	8965	1993	N	L	76	78	5.8	8.19	N/A	N/A	N/A	N/A	N/A	N/A
CHT2002019PGP	7049	2002	N	L	150	12	38	23.33	50.2847	33.2609	55.1277	88.3886	473.9147	562.3032
SR0205PSP	8965	1993	N	L	55	55	5.2	8.83	N/A	N/A	N/A	N/A	N/A	N/A
SR1008PSP	8990	2010	N	L	1	89	38.9	30.3	N/A	N/A	N/A	N/A	N/A	N/A
HEM_LAWR228PGP	12201	1999	N	L	13	14	43.4	22.4	58.3561	60.8692	115.2786	176.1479	596.5829	772.7308
SR0212PSP	8972	1994	N	L	1	60	22.3	16	N/A	N/A	N/A	N/A	N/A	N/A
NBCB021PGP	12360	2003	N	L	149	58	16.2	12.1	11.3395	2.5959	21.4982	24.0940	94.5935	118.6875
SR0204PSP	8964	1993	N	L	22	47	5.3	9.18	1.2721	0.7943	0.8722	1.6665	7.2469	8.9134
LSJP1994003PSP	3466	1994	N	L	150	13	4.6	5.11	0.4690	1.4266	0.6686	2.0952	2.6829	4.7781
SR0016PSP	8956	1995	N	L	49	40	3.6	4.92	0.4294	0.1857	0.3245	0.5102	1.9433	2.4535
SR1023PSP	9000	2010	N	L	11	89	40.8	26.7	N/A	N/A	N/A	N/A	N/A	N/A
SR4413PSP	9134	1999	N	L	53	123	26.3	20.1	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	2005	N	L	34	88	22	17.1	N/A	N/A	N/A	N/A	N/A	N/A
SR0016PSP	8956	2000	N	L	59	40	7.5	7.9	1.8428	0.6900	2.2218	2.9118	10.2357	13.1475
CHT2002034PGP	7064	2002	N	L	151	12	45.2	26.57	74.9752	42.9022	79.1191	122.0213	737.5177	859.5390
SR2222PSP	9054	1994	N	L	56	30	16.8	15.91	N/A	N/A	N/A	N/A	N/A	N/A
FCDOM200334PGP	5498	2003	N	L	26	3	29	24.04	19.6074	13.1352	26.9184	40.0536	283.2449	323.2984
SR0206PSP	8966	1993	N	L	47	50	51.5	26.5	131.4330	14.9639	218.4413	233.4053	1181.8783	1415.2835
CE6204PSP	8874	1999	N	L	16	54	3.8	6.1	N/A	N/A	N/A	N/A	N/A	N/A
SR2207PSP	9046	2000	N	L	22	58	6.9	7.4	2.3628	0.9071	3.8659	4.7730	18.2516	23.0246
NOR2013002PSP	11781	2013	N	L	30	14	23.6	17.3	16.3270	13.9244	15.6768	29.6012	150.4051	180.0062
CE4124PSP	8844	1995	N	L	58	22	21.1	12.8	7.8543	9.6871	12.2965	21.9837	63.4477	85.4313
SUD2004003PGP	7572	2010	N	L	210	13	7.1	5.22	1.2416	2.6357	1.6519	4.2876	7.8360	12.1236
ARGS244PGP	12034	1982	N	L	18	19	36.1	17.98	58.7764	34.4227	73.2286	107.6513	376.3384	483.9898
SR0201PSP	8961	1992	N	L	74	42	26.5	15.6	N/A	N/A	N/A	N/A	N/A	N/A
FCDOM200231PGP	5458	2007	N	L	4	37	40.9	20.43	80.4728	19.9936	228.8376	248.8312	659.0125	907.8437
CE0003PSP	8649	2003	N	L	8	37	8.9	9.34	2.6125	2.3736	5.8481	8.2217	24.1773	32.3990
LD2902PGP	10650	2011	N	L	205	72	3.4	7	N/A	N/A	N/A	N/A	N/A	N/A
NBPWP031PGP	12386	2002	N	L	164	139	5.7	7.9	N/A	N/A	N/A	N/A	N/A	N/A
CE1008PSP	8715	1993	N	L	62	2	7.1	5.4	1.0508	1.2235	0.7257	1.9491	7.8724	9.8215
ARGS025PGP	11816	1977	N	L	2	75	27.2	23.16	N/A	N/A	N/A	N/A	N/A	N/A
SR0208PSP	8968	1993	N	L	8	68	6.9	3.63	N/A	N/A	N/A	N/A	N/A	N/A
SR1008PSP	8990	2006	N	L	80	89	40.3	27.8	N/A	N/A	N/A	N/A	N/A	N/A
SR1201PSP	9002	2007	N	L	33	46	36.8	26.9	53.9220	9.2501	142.6042	151.8543	513.2847	665.1389
SR5407PSP	9184	1995	N	L	23	94	11.1	10.7	N/A	N/A	N/A	N/A	N/A	N/A
GCF1994008PGP	7624	2000	N	L	47	13	25.4	18.54	21.6567	15.9887	23.5276	39.5163	184.3066	223.8229
SR1024PSP	9001	2010	N	L	79	40	20.5	21.3	13.5548	4.1659	30.9968	35.1626	101.2412	136.4039
FCNEE_KC2000145PGP	5218	2011	N	L	75	38	15.1	13.31	9.2497	4.6231	13.8197	18.4428	62.1627	80.6055
FCTEM2002006PGP	5833	2015	N	L	107	25	6.5	13.5	0.9047	1.2967	1.3604	2.6571	7.0069	9.6640
IFF1993009PSP	3361	2018	N	L	209	139	8.4	11.3	N/A	N/A	N/A	N/A	N/A	N/A
SR0405PSP	8982	1998	N	L	10	86	36.6	25.8	N/A	N/A	N/A	N/A	N/A	N/A
KAP1992001PGP	7569	1992	N	L	24	73	24.3	22.36	25.1583	4.8716	26.7608	31.6324	152.8974	184.5297
SR5004PSP	9147	1993	N	L	11	40	3	5.4	0.2991	0.1341	0.2012	0.3353	1.2883	1.6236
SR0019PSP	8957	2000	N	L	15	40	18	16.8	10.4714	3.3015	22.0431	25.3446	75.2055	100.5502
1253116PIP	6733	2012	N	L	15	12	15.2	12.9	6.0996	8.6727	8.1797	16.8525	46.0293	62.8817
SR5021PSP	9159	1995	N	L	22	42	3.8	4.48	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2002103PGP	5928	2007	N	L	595	25	24.3	16.9	14.6361	9.2198	26.9731	36.1929	168.5052	204.6981
SR1210PSP	9011	1994	N	L	10	136	68.8	29.42	N/A	N/A	N/A	N/A	N/A	N/A
SR1004PSP	8988	1993	N	L	5	78	24	20.8	N/A	N/A	N/A	N/A	N/A	N/A
NBOR021PGP	12422	2003	N	L	2	41	34	26.3	62.4672	13.6585	153.2494	166.9080	420.9551	587.8630
HEM_BRUT494PGP	12092	1991	N	L	14	1001	12.3	11.5	N/A	N/A	N/A	N/A	N/A	N/A
CE4110PSP	8830	2014	N	L	77	2	2.9	3.1	0.1672	0.1919	0.0618	0.2537	0.9303	1.1839
SR5417PSP	9194	1995	N	L	8	124	10.7	15.9	N/A	N/A	N/A	N/A	N/A	N/A
SR1001PSP	8985	2007	N	L	36	44	7.8	14.6	1.1923	1.0403	4.7938	5.8341	17.7975	23.6317
SR2209PSP	9048	1995	N	L	17	55	24.2	17.4	N/A	N/A	N/A	N/A	N/A	N/A
NOR2013002PSP	11781	2013	N	L	50	14	37.1	19.6	42.0407	41.6360	68.9715	110.6075	418.3681	528.9756
1225561PIP	10282	2016	N	L	5	903	18.3	11	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2002047PGP	5874	2007	N	L	83	12	31.7	23.04	33.1281	25.4944	37.7957	63.2901	298.6343	361.9244
SR4012PSP	9097	1995	N	L	110	170	5.3	6.28	N/A	N/A	N/A	N/A	N/A	N/A
SR0208PSP	8968	1993	N	L	45	111	6.9	6.94	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK598PGP	12146	1991	N	L	18	19	35	17	54.6908	32.6592	68.2711	100.9303	349.6861	450.6164
SR0407PSP	8984	1997	N	L	4	47	11.2	20.4	5.9011	1.9766	5.0118	6.9884	36.4683	43.4567
CE7004PSP	8882	1994	N	L	24	30	2.7	4.97	N/A	N/A	N/A	N/A	N/A	N/A
SR1401PSP	9018	2012	N	L	31	56	32.1	20.9	N/A	N/A	N/A	N/A	N/A	N/A
CE4116PSP	8836	2021	N	L	90	56	25	20.5	N/A	N/A	N/A	N/A	N/A	N/A
CE7012PSP	8890	1994	N	L	81	32	30.3	26.54	36.2302	9.1898	83.9132	93.1030	338.0340	431.1370
SR1202PSP	9003	2013	N	L	76	46	3.7	8.2	0.5519	0.5512	0.8517	1.4029	3.7197	5.1226
CE2013PSP	8756	1993	N	L	14	41	3.3	5.25	0.4670	0.2752	0.2346	0.5099	2.7836	3.2935
SR0208PSP	8968	1998	N	L	16	68	15.1	15	N/A	N/A	N/A	N/A	N/A	N/A
SR1209PSP	9010	2000	N	L	20	94	16.3	17.5	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1993	N	L	13	78	7.7	10.9	N/A	N/A	N/A	N/A	N/A	N/A
ARGS142PGP	11932	1977	N	L	17	51	32.3	24.99	44.2293	8.5342	54.9066	63.4409	288.1318	351.5727
SR0207PSP	8967	1993	N	L	69	123	9.9	11.5	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1992	N	L	53	33	5	8.24	0.7452	1.0830	0.4124	1.4955	7.5697	9.0652
SR0003PSP	8943	1997	N	L	25	123	9.8	13.4	N/A	N/A	N/A	N/A	N/A	N/A
ACH_MPGP	12071	1958	N	L	58	1	16	14	N/A	N/A	N/A	N/A	N/A	N/A
NOR2013002PSP	11781	2013	N	L	36	14	18.7	12.1	10.0367	7.9260	7.3156	15.2416	88.8819	104.1236
SR1022PSP	8999	2005	N	L	73	170	6.4	9.8	N/A	N/A	N/A	N/A	N/A	N/A
CE7007PSP	8885	1994	N	L	31	46	9.5	10.35	3.6199	1.7543	6.9686	8.7229	28.0533	36.7762
SR0209PSP	8969	1998	N	L	16	60	68.4	32.5	N/A	N/A	N/A	N/A	N/A	N/A
LWP1999024PSP	3132	1999	N	L	123	70	5.3	6.21	1.2570	0.2304	0.3923	0.6227	6.0301	6.6527
SR4423PSP	9140	1999	N	L	63	123	30.3	15.1	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	76	5	7.4	4.82	N/A	N/A	N/A	N/A	N/A	N/A
LWP1994013PSP	2922	1994	N	L	137	22	26.5	10	12.7999	14.3610	19.1181	33.4791	104.8321	138.3112
FCTEM2001093PGP	5802	2014	N	L	204	12	23.2	14.8	16.1467	16.1273	19.7307	35.8580	134.8984	170.7564
CE0015PSP	8661	1994	N	L	22	30	2.5	3.66	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	55	5	31.7	13.1	N/A	N/A	N/A	N/A	N/A	N/A
CE3002PSP	8761	1998	N	L	11	1	45.2	29.7	N/A	N/A	N/A	N/A	N/A	N/A
COC1994017PSP	3280	2017	N	L	256	903	11	8	N/A	N/A	N/A	N/A	N/A	N/A
FCBOW12-2003-011PGP	5120	2008	N	L	102	25	2.8	4.16	0.1529	0.3705	0.2019	0.5724	0.9297	1.5021
ARGS168PGP	11958	1982	N	L	5	56	11.2	14.33	N/A	N/A	N/A	N/A	N/A	N/A
CE1010PSP	8717	1993	N	L	56	1	4.5	4.43	N/A	N/A	N/A	N/A	N/A	N/A
ARGS025PGP	11816	1982	N	L	2	75	29.2	24.08	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1997	N	L	64	42	30.4	19.9	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	65	5	9.2	6.71	N/A	N/A	N/A	N/A	N/A	N/A
SR0208PSP	8968	1998	N	L	43	111	10.4	13.5	N/A	N/A	N/A	N/A	N/A	N/A
SR5404PSP	9181	1998	N	L	49	55	28.1	21.9	N/A	N/A	N/A	N/A	N/A	N/A
ACH_CPGP	12061	1984	N	L	41	12	33.5	28.2	37.6198	27.6460	42.4021	70.0481	343.7438	413.7919
SR4002PSP	9087	1993	N	L	46	46	23.6	19	22.2298	5.3614	52.9735	58.3350	197.6826	256.0176
SR1005PSP	8989	2013	N	L	17	44	12.4	12.7	3.3662	2.2009	14.3689	16.5698	51.5624	68.1322
HEM_DICK615PGP	12149	1992	N	L	3	19	15.7	9	8.4588	8.3617	11.1053	19.4670	52.1549	71.6219
SR5211PSP	9171	1994	N	L	24	56	10.7	12	N/A	N/A	N/A	N/A	N/A	N/A
SR4424PSP	9141	1995	N	L	130	123	18.1	15.5	N/A	N/A	N/A	N/A	N/A	N/A
SR4219PSP	9117	1994	N	L	78	51	12.1	14.6	5.6397	1.7091	6.0984	7.8076	28.5202	36.3278
SR1013PSP	8991	1995	N	L	110	90	8	11.5	N/A	N/A	N/A	N/A	N/A	N/A
SR2203PSP	9042	2009	N	L	14	50	26.5	14.5	25.1982	6.1282	51.2296	57.3578	214.3323	271.6901
NOR2016001PSP	11788	2016	N	L	3	70	27.6	27.7	49.3324	6.4029	31.2485	37.6514	277.2976	314.9491
CE1017PSP	8722	2022	N	L	72	2	50.8	19.6	59.6739	71.7411	163.0039	234.7450	900.4390	1135.1839
SR0406PSP	8983	1993	N	L	29	86	22.6	19.5	N/A	N/A	N/A	N/A	N/A	N/A
FECGY920PGP	12843	2001	N	L	21	32	35.1	19.9	49.2610	11.4912	120.9228	132.4140	475.3242	607.7382
SR1216PSP	9015	2010	N	L	42	40	26.3	22.5	22.2238	6.5040	59.5559	66.0599	179.0511	245.1110
BY_T1CTPGP	3510	2006	N	L	18	58	16.4	12.6	11.5981	2.6354	22.0350	24.6704	96.8582	121.5287
CHT2002039PGP	7069	2002	N	L	206	22	7.4	4.62	0.8315	1.5847	1.6162	3.2009	6.3067	9.5076
SR1001PSP	8985	1992	N	L	86	44	4.8	6.07	0.4021	0.4746	1.5184	1.9930	5.8418	7.8348
FCTEM2003027PGP	5983	2013	N	L	823	20	25.7	19.9	23.5388	18.9742	26.7408	45.7149	154.0388	199.7538
FCWEY4S2002017PGP	6444	2007	N	L	1	74	12.6	13.2	7.2542	1.6244	4.7595	6.3839	39.2558	45.6397
CE4121PSP	8841	2006	N	L	25	37	44.5	21.2	97.2726	22.4949	280.2958	302.7907	791.2651	1094.0559
KAP1992001PSP	3363	2002	N	L	24	20	17	12.91	8.9183	9.5173	9.3579	18.8752	57.2587	76.1339
SR1004PSP	8988	1998	N	L	5	78	24.9	24	N/A	N/A	N/A	N/A	N/A	N/A
CE1035PSP	8740	1994	N	L	2	37	10.6	14.09	3.8697	3.0303	8.9032	11.9335	35.3102	47.2437
CE4134PSP	8854	1995	N	L	41	38	34.8	21.04	68.9119	18.1063	116.4914	134.5977	496.4855	631.0832
SR5023PSP	9160	1999	N	L	47	5	26.3	14.4	N/A	N/A	N/A	N/A	N/A	N/A
ARGS111PGP	11901	1977	N	L	18	44	26.4	24.38	18.2755	7.4657	86.0122	93.4778	292.0375	385.5153
SR5023PSP	9160	1996	N	L	3	5	28.9	14.1	N/A	N/A	N/A	N/A	N/A	N/A
HEM_BRUT497PGP	12093	1991	N	L	9	139	12.7	12	N/A	N/A	N/A	N/A	N/A	N/A
SR1216PSP	9015	2000	N	L	41	40	35	23.9	39.1850	10.8419	125.9607	136.8027	344.7037	481.5063
HEM_PECK614PGP	12246	1991	N	L	31	14	6.9	5	1.2482	0.7090	0.2794	0.9884	9.3568	10.3452
SR5416PSP	9193	1995	N	L	30	169	34.6	25.3	N/A	N/A	N/A	N/A	N/A	N/A
SR4417PSP	9137	1994	N	L	42	123	19.5	21.1	N/A	N/A	N/A	N/A	N/A	N/A
SR0206PSP	8966	1993	N	L	54	78	5.5	6.32	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2004070PGP	6106	2004	N	L	990	1	5.1	4.41	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	58	5	18	9.25	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2003049PGP	6020	2008	N	L	647	38	27.7	26.51	39.8043	12.4678	65.0539	77.5217	281.3530	358.8747
FCWEY4S2001001PGP	6279	2001	N	L	23	20	13.6	9.36	5.2808	6.5573	5.3084	11.8657	33.5579	45.4236
SR1008PSP	8990	2010	N	L	41	44	6.1	9.6	0.6877	0.6992	2.6783	3.3775	10.1247	13.5022
SR2231PSP	9062	1995	N	L	86	47	32.4	24.1	52.1279	7.2119	59.9953	67.2072	362.3925	429.5997
FCWEY4S2001059PGP	6340	2014	N	L	417	3	33.8	24.9	26.9237	17.1177	38.9695	56.0873	407.9234	464.0107
HEM_CLYD204PGP	12124	1991	N	L	16	14	47.8	7	71.4119	76.9029	158.1599	235.0628	742.2892	977.3520
1253146PIP	6710	2012	N	L	1	32	3.2	4.7	0.3306	0.3017	0.3149	0.6165	1.8812	2.4978
SR1021PSP	8998	1995	N	L	86	32	28.5	18.9	31.8787	8.3730	72.0685	80.4415	293.3103	373.7518
ACH_CPGP	12061	1995	N	L	5	2	33	26.77	24.6157	29.3860	49.7399	79.1260	317.2488	396.3747
SR4411PSP	9132	1994	N	L	20	51	3.1	4.44	0.3241	0.1837	0.2894	0.4731	1.1832	1.6563
ARGS177PGP	11967	1977	N	L	14	30	61.7	21.95	N/A	N/A	N/A	N/A	N/A	N/A
SR1202PSP	9003	2008	N	L	64	90	5.5	10.1	N/A	N/A	N/A	N/A	N/A	N/A
SR2232PSP	9063	2011	N	L	133	56	8	11.7	N/A	N/A	N/A	N/A	N/A	N/A
SR1001PSP	8985	2007	N	L	5	41	65.4	30.7	246.6063	40.8306	943.8641	984.6948	1720.8947	2705.5895
CE0068PSP	8701	1994	N	L	54	1	32.8	24.4	N/A	N/A	N/A	N/A	N/A	N/A
ARGS059PGP	11850	1977	N	L	7	19	35	16.46	54.6908	32.6592	68.2711	100.9303	349.6861	450.6164
1184296PIP	6591	2012	N	L	412	25	14.2	12.2	4.7088	4.1463	7.9877	12.1340	46.0237	58.1576
SR4008PSP	9093	1995	N	L	21	50	28.8	19.2	30.9904	6.8533	61.4348	68.2881	265.4361	333.7243
CE0060PSP	8693	1994	N	L	13	32	46.2	20.21	87.4640	17.4474	239.3357	256.7831	898.9676	1155.7507
SR0216PSP	8976	2000	N	L	14	42	44.8	26.1	N/A	N/A	N/A	N/A	N/A	N/A
HEM_CLYD477PGP	12133	1991	N	L	61	19	3.8	6	0.3111	0.7502	0.4465	1.1968	1.7997	2.9965
SR1201PSP	9002	2012	N	L	22	90	31.7	20	N/A	N/A	N/A	N/A	N/A	N/A
NBBY043PGP	12421	2003	N	L	96	170	15.3	13.7	N/A	N/A	N/A	N/A	N/A	N/A
FCWEY4S2002009PGP	6432	2012	N	L	167	3	14.7	10.6	4.8030	4.0573	5.2153	9.2727	56.2789	65.5516
CHA1995002PSP	3238	2015	N	L	186	13	5	5.2	0.5655	1.6051	0.7955	2.4006	3.2958	5.6964
NOR2013002PSP	11781	2013	N	L	40	14	26.4	17	20.6401	18.2673	22.6320	40.8993	193.7985	234.6977
FCTEM2002095PGP	5920	2015	N	L	620	73	6	7.8	1.3094	0.5043	0.9111	1.4154	5.4427	6.8581
SR1202PSP	9003	2013	N	L	12	124	5	6.9	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	30	5	9.4	8.19	N/A	N/A	N/A	N/A	N/A	N/A
CE0034PSP	8680	2003	N	L	1	30	26.3	22.74	N/A	N/A	N/A	N/A	N/A	N/A
