Species,Wood (kg),Bark (kg),Branch (kg),Foliage (kg),Total (kg),Wood %,Bark %,Branch %,Foliage %
45,0.0000,0.0000,0.0000,2.6670,2.6670,0.0,0.0,0.0,100.0
46,0.0000,0.0000,0.0000,8.3028,8.3028,0.0,0.0,0.0,100.0
alpine fir,0.0000,0.0000,0.0000,32.6857,32.6857,0.0,0.0,0.0,100.0
