BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-18 09:45:54
Total records: 17664

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)
SR0001PSP	8941	1992	N	L	37	45	25.7	15.5	193.0472
SR1018PSP	8995	1995	N	L	36	40	13.1	13.8	30.8395
ACH_BPGP	12060	1952	N	L	7	1	19.8	18.6	N/A
CE3015PSP	8774	1998	N	L	117	58	19.5	15.5	119.3056
SR1022PSP	8999	2010	N	L	65	46	6.1	10.5	9.3576
1246196PIP	10391	2016	N	L	94	22	7.9	5.9	6.3273
CE1039PSP	8744	1994	N	L	67	2	8.9	7.94	11.8566
FCTEM2004061PGP	6161	2014	N	L	923	22	6.4	6.1	3.9713
SR0208PSP	8968	1993	N	L	19	68	6.6	8	N/A
SR1015PSP	8992	1994	N	L	42	88	20.7	15.7	N/A
SR0205PSP	8965	1998	N	L	44	88	23.6	22.4	N/A
LD2405PGP	10628	2022	N	L	101	1001	9.6	13.9	N/A
SR0204PSP	8964	1998	N	L	40	42	9.5	12.4	N/A
SR5021PSP	9159	1995	N	L	48	51	23.7	22.7	115.6524
FCBOW56-031-0PGP	4889	2001	N	L	157	20	40.6	18.5	391.5879
FCDOM200243PGP	5470	2012	N	L	201	139	12.2	13.1	N/A
SR1003PSP	8987	2013	N	L	48	89	42.3	27.9	N/A
CE3029PSP	8788	2004	N	L	74	42	4.2	3.8	N/A
LD0803PGP	10707	2006	N	L	35	51	15.5	15.1	41.5598
FCWEY_KEN2005001PGP	6569	2005	N	L	240	22	33.3	12.68	152.5375
SR1015PSP	8992	2005	N	L	97	88	36.0	22.5	N/A
ACH_MPGP	12071	1953	N	L	31	1	12.4	13.7	N/A
SR0204PSP	8964	1993	N	L	20	33	21.4	21	144.5789
KAP1992001PGP	7569	2002	N	L	206	73	33.1	21.77	272.6191
SR0216PSP	8976	2000	N	L	9	124	25.7	22.2	N/A
LD1506PGP	10745	2015	N	L	94	45	4.4	6.5	3.0558
SR4424PSP	9141	1995	N	L	6	169	29.8	20.5	N/A
LSJP1994009PSP	3472	2013	N	L	96	12	8.0	5.35	7.6350
SR5004PSP	9147	1993	N	L	44	40	49.8	21.3	695.7283
FCBOW56-020-0PGP	4878	2006	N	L	105	20	30.4	19.25	195.3829
ARGS127PGP	11917	1998	N	L	53	37	8.2	8.2	18.0722
GGM1994013PSP	3310	1994	N	L	43	12	27.4	21.36	182.3461
LWP1995051PSP	2925	2003	N	L	447	38	8.4	12.16	12.1943
SR5003PSP	9146	1992	N	L	14	123	6.0	5.45	N/A
FCTEM2003059PGP	6030	2013	N	L	120	3	22.6	17.5	144.7665
CE3000PSP	8759	1997	N	L	6	2	6.8	8.2	6.1378
LD1905PGP	10763	2011	N	L	16	37	7.5	9.7	14.9083
SR0209PSP	8969	1998	N	L	29	60	24.4	28.9	N/A
CE0012PSP	8658	1994	N	L	52	30	2.7	5.18	N/A
SR5417PSP	9194	1999	N	L	12	170	25.7	18.7	N/A
CE4122PSP	8842	1995	N	L	31	19	9.9	9.08	14.5678
SR1202PSP	9003	2000	N	L	38	124	25.5	24	N/A
SR5404PSP	9181	1993	N	L	37	177	31.7	25.8	N/A
SR2230PSP	9061	1995	N	L	10	117	9.9	12.2	N/A
FCBOW12-9A-0PGP	4688	2010	N	L	466	3	18.0	17.3	83.7639
HEM_DEVI944PGP	12137	1992	N	L	7	19	44.5	22	522.6958
HEM_LAWR130PGP	12194	1991	N	L	20	14	24.1	20	140.6468
SR2231PSP	9062	2001	N	L	102	33	26.7	20.3	230.0964
HEM_DICK711PGP	12155	1990	N	L	33	1001	7.5	11	N/A
SR3009PSP	9073	1994	N	L	47	41	9.6	13	23.2974
SR0405PSP	8982	1993	N	L	51	86	46.3	27.4	N/A
SR4406PSP	9127	1999	N	L	2	169	21.1	19.1	N/A
SR1001PSP	8985	1992	N	L	100	55	2.5	5.65	N/A
SR0012PSP	8952	1998	N	L	20	44	10.5	10.9	32.8837
1239491PIP	10556	2017	N	L	70	1005	11.9	10	N/A
MAN1994007PSP	2935	2006	N	L	53	74	9.1	15.05	14.3015
SR5416PSP	9193	1998	N	L	43	169	8.2	8.3	N/A
FCTEM2002099PGP	5924	2014	N	L	29	20	21.4	14.4	84.0476
SR5417PSP	9194	1999	N	L	12	42	52.4	21.8	N/A
BP1994009PSP	3219	2021	N	L	203	38	21.2	19.6	123.6923
NOR2013002PSP	11781	2013	N	L	64	14	21.5	18.6	108.3980
SR1002PSP	8986	2013	N	L	13	89	40.9	31.8	N/A
SR0404PSP	8981	1998	N	L	21	41	40.2	28.5	514.9021
BP1994005PSP	3215	1994	N	L	496	38	12.0	12.21	29.7724
SR4424PSP	9141	1998	N	L	52	169	30.0	18.8	N/A
SR1210PSP	9011	1994	N	L	28	136	2.5	3.78	N/A
SR1015PSP	8992	1994	N	L	95	88	26.9	16.71	N/A
SR0016PSP	8956	1995	N	L	59	40	7.1	7.01	7.3853
SR5404PSP	9181	2012	N	L	37	177	40.9	29.5	N/A
SR0217PSP	8977	1995	N	L	51	47	26.1	20.3	193.5801
FCBOW78-2626-6PGP	4816	2004	N	L	75	12	9.3	8.91	11.2554
SR1201PSP	9002	2007	N	L	22	90	31.9	22.2	N/A
SR0003PSP	8943	1993	N	L	38	46	8.9	14.22	21.2129
FCDOM200244PGP	5471	2002	N	L	83	41	21.5	19.9	133.1155
SR5023PSP	9160	1996	N	L	36	5	23.2	11.1	N/A
CE0006PSP	8652	2020	N	L	81	139	11.3	13.4	N/A
FCBOW56-027-0PGP	4882	2001	N	L	637	25	2.6	4.72	0.6479
KLK1994027PSP	3417	1994	N	L	10	3	13.3	11.37	40.4676
SR5023PSP	9160	1996	N	L	58	5	28.4	9.5	N/A
1232631PIP	6718	2012	N	L	105	32	16.6	12.57	73.6118
SR0205PSP	8965	1993	N	L	3	111	16.1	6.75	N/A
SR5407PSP	9184	1995	N	L	37	169	16.9	11.8	N/A
FCTEM2001018PGP	5811	2001	N	L	186	12	4.3	4.26	1.5412
CE7006PSP	8884	2004	N	L	21	51	11.0	12.4	18.1845
BAN2004025PGP	12332	2004	N	L	34	139	17.7	13.3	N/A
FCTEM_KAP2000046PGP	5728	2005	N	L	132	13	21.0	16.27	100.8099
LD1605PGP	10750	2007	N	L	4	58	31.1	24.4	295.1689
SR0210PSP	8970	1998	N	L	69	47	3.6	7.8	2.5696
ACH_NPGP	12072	1963	N	L	74	75	23.4	17.7	N/A
LD1501PGP	10740	2002	N	L	75	58	20.0	19.1	125.3137
SR5007PSP	9150	1999	N	L	20	169	6.1	6.3	N/A
ACH_APGP	12059	1952	N	L	116	1	17.3	16.8	N/A
SR2205PSP	9044	2015	N	L	52	46	7.5	10.6	14.6409
SR4424PSP	9141	1995	N	L	52	169	29.4	17.7	N/A
SR0008PSP	8948	1994	N	L	1	33	19.2	16.8	115.1248
SR4426PSP	9142	1995	N	L	46	94	42.1	19.5	N/A
ARGS242PGP	12032	1977	N	L	10	37	23.4	12.8	173.4877
COC2019002PSP	10594	2019	N	L	59	903	9.0	9.9	N/A
SR5024PSP	9161	1997	N	L	6	124	4.2	7.06	N/A
SR4408PSP	9129	1998	N	L	142	51	3.4	4.7	1.0733
FCBOW56-2005-14PGP	5165	2018	N	L	1	2	3.8	4.8	1.4782
ARGS060PGP	11851	1977	N	L	33	19	26.7	17.37	154.8043
SR5416PSP	9193	2010	N	L	46	169	14.8	18	N/A
SR5007PSP	9150	1999	N	L	58	46	2.9	4.8	1.8687
ARGS061PGP	11852	1982	N	L	22	30	43.9	23.47	N/A
COC1994001PSP	3264	2016	N	L	136	20	8.2	7	8.3837
CE2007PSP	8751	1998	N	L	38	2	33.9	17.2	312.5451
SR1017PSP	8994	1994	N	L	64	41	12.4	13.2	40.5107
SR0205PSP	8965	1993	N	L	57	50	7.2	9.47	6.5537
FCACI_FF200501PGP	4631	2010	N	L	39	45	16.0	14.8	63.4144
SR1004PSP	8988	1993	N	L	3	78	28.5	22.3	N/A
SR4401PSP	9122	1992	N	L	21	58	4.1	4.9	5.7861
SR0204PSP	8964	1993	N	L	51	33	3.7	5.71	3.6263
SR0205PSP	8965	1993	N	L	34	60	9.2	13.7	N/A
SR5414PSP	9191	1999	N	L	288	47	16.3	13.2	69.3116
1239161PIP	10222	2016	N	L	118	25	11.6	13.5	25.1849
SR4426PSP	9142	1999	N	L	45	94	25.8	21.3	N/A
HEM_DICK611PGP	12148	1992	N	L	40	19	3.6	3.6	1.3088
SR0201PSP	8961	1997	N	L	25	39	35.2	20.8	N/A
SR3011PSP	9075	2008	N	L	35	170	5.7	6.2	N/A
SR1015PSP	8992	1994	N	L	83	88	20.9	18.5	N/A
SR5023PSP	9160	1996	N	L	50	5	11.7	8.1	N/A
CE7003PSP	8881	2005	N	L	89	12	3.1	2.6	0.6631
1259801PIP	223	2011	N	L	98	38	2.6	5.8	0.6480
SR5014PSP	9156	1994	N	L	31	33	16.3	17.3	81.6263
SR4001PSP	9086	1993	N	L	2	123	23.2	25.3	N/A
SR4421PSP	9139	1995	N	L	1	41	11.7	13.1	35.7289
ACH_NPGP	12072	1978	N	L	74	75	25.4	19.5	N/A
LSJP1993012PSP	3446	1993	N	L	162	13	16.6	11.05	55.8116
CE3000PSP	8759	1997	N	L	55	2	18.5	21	71.0256
HEA1993008PSP	3344	2006	N	L	1	73	9.6	7.93	13.0913
SR0213PSP	8973	1994	N	L	17	50	6.8	9.34	5.6550
LD2603PGP	10639	2022	N	L	162	1001	7.7	9.6	N/A
HEM_DICK604PGP	12147	1991	N	L	63	19	4.9	8	2.7278
FCTEM2004058PGP	6158	2004	N	L	556	12	24.5	18.12	136.6690
SR0208PSP	8968	1998	N	L	31	68	11.7	15.1	N/A
CE7005PSP	8883	1994	N	L	7	46	15.2	15.4	67.6411
FCABI200523PGP	4578	2005	N	L	188	3	31.0	19.16	309.4844
HEM_CLAN294PGP	12118	1992	N	L	12	139	16.5	15	N/A
SR0204PSP	8964	1993	N	L	40	42	9.4	12.2	N/A
SR0205PSP	8965	1993	N	L	109	78	43.6	19	N/A
CE4117PSP	8837	1995	N	L	25	51	32.5	19.86	247.5584
SR0211PSP	8971	1994	N	L	62	47	10.9	12.3	28.8091
SR5024PSP	9161	1997	N	L	49	117	5.1	4.6	N/A
1225636PIP	6721	2012	N	L	30	903	12.8	8.8	N/A
SR1202PSP	9003	1993	N	L	73	124	24.2	21.5	N/A
FCABI200547PGP	4607	2010	N	L	318	37	17.0	11.42	87.0888
CE4118PSP	8838	1995	N	L	29	30	10.3	12.4	N/A
SR0206PSP	8966	1993	N	L	43	111	15.0	9.53	N/A
SR0201PSP	8961	1997	N	L	111	42	38.0	24.3	N/A
CE3030PSP	8789	2010	N	L	67	22	37.9	16.2	203.0886
SR1003PSP	8987	2008	N	L	45	58	28.2	20	244.1031
HEM_LAWR224PGP	12199	1990	N	L	19	19	23.0	16	108.5082
SR0021PSP	8959	1995	N	L	47	58	6.8	6.17	15.4450
SR0020PSP	8958	1994	N	L	17	30	2.6	5.86	N/A
SR0405PSP	8982	1993	N	L	2	86	43.2	30.8	N/A
SR0019PSP	8957	1995	N	L	37	40	17.1	17.6	57.4317
