BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-21 12:37:34
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)	Bark (KG)	Branch (KG)	Foliage (KG)	Stem (KG)	Crown (KG)	Total (KG)
SR2013PSP	9035	2016	N	L	66	46	27.1	27	356.6479	38.7472	71.0271	8.2710	395.3950	79.2981	474.6932
HEM_BRUT399PGP	12090	1991	N	L	4	1001	10.2	12	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BP1994012PSP	3222	2021	N	L	570	1091	7.6	8.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK300PGP	12144	1991	N	L	2	19	27.5	20	199.6632	35.2071	35.0878	18.6551	234.8704	53.7429	288.6132
SR5024PSP	9161	1997	N	L	35	124	2.9	6.74	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE3026PSP	8785	2006	N	L	37	70	41.8	27.4	14744.9449	131.1696	96.0831	12.9399	14876.1145	109.0229	14985.1374
FCTEM2002041PGP	5868	2002	N	L	81	38	28	20.43	266.5409	43.0838	59.0689	10.5650	309.6246	69.6339	379.2585
SR0406PSP	8983	1998	N	L	29	86	23.9	21.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE4113PSP	8833	1995	N	L	104	2	30.6	27.57	373.5660	23.3706	25.6194	19.2108	396.9366	44.8302	441.7668
SR0406PSP	8983	1998	N	L	38	86	31.3	23.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0406PSP	8983	1998	N	L	20	86	47.6	26.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1208PSP	9009	2005	N	L	26	78	32.4	28.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4204PSP	9102	1993	N	L	42	55	5.5	5.74	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5020PSP	9158	1999	N	L	120	47	10.3	14.3	24.5044	6.5041	4.0433	1.6065	31.0085	5.6498	36.6583
SR0401PSP	8978	1997	N	L	27	75	37.2	24.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_LAWR486PGP	12208	1999	N	L	20	44	12.9	10.7	41.6114	3.1882	15.4088	2.4210	44.7995	17.8298	62.6293
SR4406PSP	9127	1999	N	L	107	169	3.2	4.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KLK1994013PSP	3403	2006	N	L	14	73	33.2	22.98	300.9163	51.7043	58.6585	7.7653	352.6206	66.4238	419.0444
SR5022PSP	9196	1996	N	L	35	19	29.3	17.55	201.7000	37.5606	44.1409	22.9440	239.2606	67.0850	306.3455
FCABI200315PGP	4473	2014	N	L	43	20	27.3	20.3	171.5488	30.6371	25.5951	17.7947	202.1859	43.3897	245.5757
NP1996007PSP	2975	2011	N	L	238	1091	10	7.65	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LWP1994009PSP	2919	2005	N	L	176	70	5.7	8.67	31.0478	1.3270	0.4957	0.3789	32.3749	0.8746	33.2494
1253101PIP	9	2007	N	L	73	1092	13.4	10.23	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE0022PSP	8668	1999	N	L	43	38	29.5	19.1	283.5181	45.6685	74.2774	12.8492	329.1866	87.1266	416.3132
FCABI200418PGP	4523	2009	N	L	185	3	4	6.52	2.1357	0.3955	0.2038	0.3875	2.5312	0.5914	3.1226
SR0206PSP	8966	1993	N	L	46	68	25.7	18.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1993	N	L	2	124	25.3	20.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1246236PIP	10277	2016	N	L	118	22	6.3	5.4	3.3211	0.5723	1.1716	1.2704	3.8934	2.4419	6.3353
SR0001PSP	8941	1992	N	L	37	45	25.7	15.5	176.8894	29.4521	29.8292	3.8937	206.3415	33.7229	240.0644
SR1018PSP	8995	1995	N	L	36	40	13.1	13.8	50.0800	6.9317	15.3417	2.8024	57.0118	18.1441	75.1558
ACH_BPGP	12060	1952	N	L	7	1	19.8	18.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE3015PSP	8774	1998	N	L	117	58	19.5	15.5	101.5385	14.3422	21.6583	3.3850	115.8806	25.0433	140.9240
SR1022PSP	8999	2010	N	L	65	46	6.1	10.5	8.6064	1.5803	2.2849	0.8233	10.1866	3.1082	13.2948
1246196PIP	10391	2016	N	L	94	22	7.9	5.9	5.3074	0.9052	1.9159	1.9567	6.2126	3.8725	10.0852
CE1039PSP	8744	1994	N	L	67	2	8.9	7.94	8.0078	2.0080	1.7287	2.6626	10.0157	4.3913	14.4071
FCTEM2004061PGP	6161	2014	N	L	923	22	6.4	6.1	3.8268	0.6343	1.0953	1.1946	4.4611	2.2900	6.7510
SR0208PSP	8968	1993	N	L	19	68	6.6	8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	1994	N	L	42	88	20.7	15.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1998	N	L	44	88	23.6	22.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LD2405PGP	10628	2022	N	L	101	1001	9.6	13.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0204PSP	8964	1998	N	L	40	42	9.5	12.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5021PSP	9159	1995	N	L	48	51	23.7	22.7	148.6933	31.2425	32.8597	4.8207	179.9358	37.6804	217.6162
FCBOW56-031-0PGP	4889	2001	N	L	157	20	40.6	18.5	328.0613	66.4533	116.2910	53.7584	394.5146	170.0495	564.5640
FCDOM200243PGP	5470	2012	N	L	201	139	12.2	13.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1003PSP	8987	2013	N	L	48	89	42.3	27.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
