BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-21 12:37:34
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)	Bark (KG)	Branch (KG)	Foliage (KG)	Stem (KG)	Crown (KG)	Total (KG)
HEM_CLAN294PGP	12118	1992	N	L	12	139	16.5	15	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0204PSP	8964	1993	N	L	40	42	9.4	12.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1993	N	L	109	78	43.6	19	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE4117PSP	8837	1995	N	L	25	51	32.5	19.86	246.7426	44.2526	55.2377	8.5914	290.9952	63.8291	354.8243
SR0211PSP	8971	1994	N	L	62	47	10.9	12.3	23.0874	6.1579	4.6139	1.7299	29.2453	6.3438	35.5891
SR5024PSP	9161	1997	N	L	49	117	5.1	4.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1225636PIP	6721	2012	N	L	30	903	12.8	8.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1202PSP	9003	1993	N	L	73	124	24.2	21.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCABI200547PGP	4607	2010	N	L	318	37	17	11.42	60.8260	9.3420	27.9658	6.2608	70.1680	34.2266	104.3946
CE4118PSP	8838	1995	N	L	29	30	10.3	12.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0206PSP	8966	1993	N	L	43	111	15	9.53	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1997	N	L	111	42	38	24.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE3030PSP	8789	2010	N	L	67	22	37.9	16.2	198.5838	27.6755	40.8559	28.5200	226.2593	69.3759	295.6352
SR1003PSP	8987	2008	N	L	45	58	28.2	20	265.3031	32.6577	75.7746	5.0388	297.9607	80.8134	378.7742
HEM_LAWR224PGP	12199	1990	N	L	19	19	23	16	116.8394	22.2179	24.2362	14.9166	139.0573	39.1529	178.2101
SR0021PSP	8959	1995	N	L	47	58	6.8	6.17	5.0804	1.1454	0.5131	1.2032	6.2258	1.7163	7.9421
SR0020PSP	8958	1994	N	L	17	30	2.6	5.86	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0405PSP	8982	1993	N	L	2	86	43.2	30.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0019PSP	8957	1995	N	L	37	40	17.1	17.6	100.7392	12.0263	36.8658	5.1942	112.7656	42.0599	154.8255
SR1207PSP	9008	2000	N	L	35	90	30.9	26.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCWEY_KEN2003016PGP	6495	2003	N	L	240	13	13.6	14.01	42.1459	6.1519	4.3687	4.5663	48.2978	8.9350	57.2329
1328611PIP	60	2008	N	L	28	42	13.3	6.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE5007PSP	8863	2001	N	L	54	41	9.4	11.9	22.5277	5.2632	2.7192	1.8503	27.7909	4.5694	32.3604
HEM_DICK300PGP	12144	1991	N	L	3	19	12.3	10	23.3638	5.1290	5.7314	5.6389	28.4928	11.3703	39.8631
SR1001PSP	8985	1992	N	L	93	1196	2.7	5.44	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4406PSP	9127	1999	N	L	50	46	11.3	13.8	34.9099	5.4078	9.4608	1.9495	40.3177	11.4103	51.7280
SR0201PSP	8961	1997	N	L	40	50	15.3	14.6	51.3359	6.2998	15.3638	2.7024	57.6357	18.0662	75.7019
ARGS061PGP	11852	1982	N	L	26	56	9.4	12.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARGS266PGP	12056	1982	N	L	28	51	16.3	18.29	58.2610	13.4574	12.8710	2.4301	71.7185	15.3011	87.0195
SR1023PSP	9000	1995	N	L	70	124	29.5	22.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1401PSP	9018	1992	N	L	31	56	29.6	16.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1998	N	L	94	88	29.6	21.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LD1501PGP	10740	2010	N	L	23	30	6.6	6.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0012PSP	8952	1998	N	L	23	60	60.3	25.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1003PSP	8987	1998	N	L	62	51	57.4	29.7	1095.3548	173.2802	244.6057	24.3291	1268.6350	268.9348	1537.5698
SR2206PSP	9045	1993	N	L	32	44	4.9	7.32	4.4373	0.3897	1.5466	0.5365	4.8271	2.0831	6.9102
SR0201PSP	8961	1992	N	L	124	94	7.5	10.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1273811PIP	6795	2013	N	L	76	56	6	6.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5404PSP	9181	2012	N	L	60	177	10.7	14.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1992	N	L	73	33	13.4	13.91	43.2039	5.2442	11.4183	5.2655	48.4481	16.6838	65.1319
GGM1994017PSP	3314	1994	N	L	37	3	32	24.7	375.6134	24.3324	31.8751	15.9566	399.9459	47.8317	447.7776
CE3030PSP	8789	1999	N	L	6	45	31.3	20.9	322.9654	38.8405	39.5722	6.1987	361.8059	45.7710	407.5768
SR0206PSP	8966	1998	N	L	47	50	52.7	27.8	1225.6654	131.0442	229.9928	16.2618	1356.7096	246.2546	1602.9642
SR2211PSP	9049	2001	N	L	9	55	22	20.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE1027PSP	8732	1993	N	L	4	20	3	2.9	0.5543	0.0978	0.1385	0.6021	0.6521	0.7406	1.3927
HEM_DICK862PGP	12157	1990	N	L	30	1001	8.5	15	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACH_MPGP	12071	1953	N	L	32	1	26.7	21.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE7014PSP	8892	2004	N	L	50	1	4	4.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LWP1994013PSP	2922	2003	N	L	149	1	19.9	11.49	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0013PSP	8953	1994	N	L	46	44	16	16.2	86.2780	6.3640	25.6976	3.3853	92.6420	29.0829	121.7248
SR1213PSP	9014	2000	N	L	25	90	3.3	5.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCDOM200139PGP	5390	2006	N	L	19	38	11.7	11.51	29.5033	5.2451	6.3480	2.6807	34.7484	9.0287	43.7771
SR5020PSP	9158	1999	N	L	32	47	5.9	10.9	6.7878	2.3127	1.1031	0.7752	9.1006	1.8783	10.9789
BY_MCPGP	3508	2006	N	L	67	139	9.7	12.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0217PSP	8977	2000	N	L	13	78	19.3	14.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5009PSP	9152	1998	N	L	21	111	2.9	5.15	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IFF1993009PSP	3361	2018	N	L	205	903	7.8	9.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR2220PSP	9052	1994	N	L	26	30	3	5.95	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK598PGP	12146	1991	N	L	11	1001	14	12.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0209PSP	8969	1994	N	L	19	60	17.6	22	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1992	N	L	7	39	52.9	32	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1001PSP	8985	2007	N	L	93	1196	6.7	10.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE1007PSP	8714	1993	N	L	87	1	2.6	3.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LD0306PGP	10681	2012	N	L	87	1001	8.5	8.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0216PSP	8976	1995	N	L	14	42	43.6	23	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1401PSP	9018	2012	N	L	22	58	24.8	24.4	276.4230	31.9389	62.7428	3.7705	308.3618	66.5134	374.8752
CE6205PSP	8875	1999	N	L	23	50	15.1	17.9	56.8998	6.0996	14.9277	2.6513	62.9994	17.5791	80.5785
KLK1994037PSP	3427	2005	N	L	16	32	5.8	8.05	5.3612	1.1166	1.5578	0.7834	6.4778	2.3412	8.8190
SR1201PSP	9002	2007	N	L	54	51	28.9	21	205.5218	39.1541	45.7777	6.9304	244.6758	52.7081	297.3840
NOR2013002PSP	11781	2013	N	L	72	14	39.7	23	500.2392	46.2795	99.2481	45.2897	546.5187	144.5378	691.0565
ARGS064PGP	11855	1982	N	L	4	32	20.6	19.8	138.5266	15.8011	33.0667	5.1765	154.3277	38.2432	192.5709
1239491PIP	10556	2017	N	L	72	1005	7.5	9.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE3026PSP	8785	1998	N	L	3	32	9.6	13.3	21.7595	3.2020	5.2486	1.6597	24.9615	6.9083	31.8698
FCACI_FF200401PGP	4548	2004	N	L	73	32	5.8	5.84	4.2163	1.1166	1.5578	0.7834	5.3329	2.3412	7.6741
FCNEE_KC2000147PGP	5220	2000	N	L	160	73	3.2	4.95	0.6875	0.3376	0.1290	0.2277	1.0251	0.3566	1.3818
SR0406PSP	8983	1998	N	L	31	40	35.9	25.8	520.1876	50.2727	280.4811	20.7298	570.4603	301.2109	871.6712
1253101PIP	9	2007	N	L	82	1092	19	13.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_MCLA192PGP	12213	1991	N	L	13	30	14.2	17	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_LAWR228PGP	12201	1991	N	L	13	14	40	14	251.9486	46.9883	101.7551	46.0706	298.9369	147.8257	446.7625
ARGS053PGP	11844	1977	N	L	11	56	28.7	20.73	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1992	N	L	28	39	32.5	23.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE7000PSP	8878	2004	N	L	26	51	7.7	7.85	6.1498	1.5499	1.3804	0.6160	7.6997	1.9964	9.6961
FCTEM2003074PGP	6045	2003	N	L	67	13	25.2	22.01	195.2958	24.2375	17.1209	12.0384	219.5333	29.1593	248.6926
SR0204PSP	8964	1993	N	L	30	39	34.4	19	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	2009	N	L	97	88	36.9	22.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCDOM200435PGP	5586	2009	N	L	201	12	5.8	4.52	2.7002	0.6508	1.2453	2.4835	3.3510	3.7288	7.0799
1184171PIP	10327	2016	N	L	41	25	16	10.3	41.0836	5.2705	13.4496	5.9983	46.3541	19.4479	65.8020
CE4117PSP	8837	1995	N	L	14	56	9.5	10.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARGS254PGP	12044	1977	N	L	10	30	10.9	12.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	35	5	3.4	3.47	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BY_MCPGP	3508	2006	N	L	88	37	8.6	14.3	20.6713	2.5487	5.5050	2.6235	23.2200	8.1285	31.3484
FCACI200208PGP	4393	2007	N	L	140	20	19.4	16.6	77.0084	13.3499	10.0256	9.4213	90.3583	19.4469	109.8053
SR5417PSP	9194	1999	N	L	87	170	18.9	20.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1184326PIP	6594	2012	N	L	113	22	8.3	5	4.9389	0.8933	2.5085	2.4885	5.8322	4.9970	10.8292
SR0205PSP	8965	1993	N	L	76	78	5.8	8.19	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHT2002019PGP	7049	2002	N	L	150	12	38	23.33	389.6411	45.7816	59.8830	35.2173	435.4227	95.1003	530.5230
SR0205PSP	8965	1993	N	L	55	55	5.2	8.83	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1008PSP	8990	2010	N	L	1	89	38.9	30.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_LAWR228PGP	12201	1999	N	L	13	14	43.4	22.4	558.0290	55.4006	133.3386	55.4474	613.4296	188.7860	802.2156
SR0212PSP	8972	1994	N	L	1	60	22.3	16	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NBCB021PGP	12360	2003	N	L	149	58	16.2	12.1	53.6067	8.4977	10.4140	2.9516	62.1045	13.3655	75.4700
SR0204PSP	8964	1993	N	L	22	47	5.3	9.18	4.6678	1.7029	0.8590	0.6738	6.3707	1.5328	7.9035
LSJP1994003PSP	3466	1994	N	L	150	13	4.6	5.11	2.2961	0.4797	0.5375	1.1153	2.7758	1.6527	4.4286
SR0016PSP	8956	1995	N	L	49	40	3.6	4.92	1.9698	0.5051	0.2690	0.1664	2.4749	0.4353	2.9103
SR1023PSP	9000	2010	N	L	11	89	40.8	26.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4413PSP	9134	1999	N	L	53	123	26.3	20.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	2005	N	L	34	88	22	17.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0016PSP	8956	2000	N	L	59	40	7.5	7.9	11.0294	2.1508	2.2879	0.7289	13.1802	3.0168	16.1971
CHT2002034PGP	7064	2002	N	L	151	12	45.2	26.57	603.8244	66.8583	87.3109	46.0691	670.6827	133.3800	804.0627
SR2222PSP	9054	1994	N	L	56	30	16.8	15.91	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCDOM200334PGP	5498	2003	N	L	26	3	29	24.04	307.5471	20.4551	24.2239	13.3815	328.0021	37.6054	365.6076
SR0206PSP	8966	1993	N	L	47	50	51.5	26.5	1128.7404	123.8425	218.6889	15.7273	1252.5828	234.4162	1486.9990
CE6204PSP	8874	1999	N	L	16	54	3.8	6.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR2207PSP	9046	2000	N	L	22	58	6.9	7.4	6.6034	1.3855	0.6250	1.1167	7.9889	1.7417	9.7306
NOR2013002PSP	11781	2013	N	L	30	14	23.6	17.3	142.5124	16.1952	17.7113	13.9012	158.7075	31.6125	190.3200
CE4124PSP	8844	1995	N	L	58	22	21.1	12.8	58.6709	8.4150	11.5061	9.3730	67.0859	20.8791	87.9650
SUD2004003PGP	7572	2010	N	L	210	13	7.1	5.22	5.0192	1.0356	2.1425	3.3126	6.0548	5.4551	11.5099
ARGS244PGP	12034	1982	N	L	18	19	36.1	17.98	307.9267	57.5416	75.9617	34.3982	365.4684	110.3599	475.8283
SR0201PSP	8961	1992	N	L	74	42	26.5	15.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCDOM200231PGP	5458	2007	N	L	4	37	40.9	20.43	569.6280	79.5167	226.9889	19.1994	649.1448	246.1883	895.3331
CE0003PSP	8649	2003	N	L	8	37	8.9	9.34	14.5885	2.1776	5.9741	2.7409	16.7661	8.7150	25.4811
LD2902PGP	10650	2011	N	L	205	72	3.4	7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NBPWP031PGP	12386	2002	N	L	164	139	5.7	7.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE1008PSP	8715	1993	N	L	62	2	7.1	5.4	3.2147	1.1910	1.2744	2.0836	4.4057	3.3580	7.7637
ARGS025PGP	11816	1977	N	L	2	75	27.2	23.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0208PSP	8968	1993	N	L	8	68	6.9	3.63	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1008PSP	8990	2006	N	L	80	89	40.3	27.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1201PSP	9002	2007	N	L	33	46	36.8	26.9	605.3906	63.9195	143.7660	11.3746	669.3101	155.1406	824.4507
SR5407PSP	9184	1995	N	L	23	94	11.1	10.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GCF1994008PGP	7624	2000	N	L	47	13	25.4	18.54	166.7614	21.9467	22.4204	15.5425	188.7081	37.9629	226.6710
SR1024PSP	9001	2010	N	L	79	40	20.5	21.3	166.3755	17.6534	69.3525	8.1345	184.0289	77.4870	261.5160
FCNEE_KC2000145PGP	5218	2011	N	L	75	38	15.1	13.31	55.2866	9.5638	12.4457	4.1047	64.8504	16.5504	81.4008
FCTEM2002006PGP	5833	2015	N	L	107	25	6.5	13.5	12.4127	1.3267	0.5849	0.7044	13.7394	1.2893	15.0287
IFF1993009PSP	3361	2018	N	L	209	139	8.4	11.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0405PSP	8982	1998	N	L	10	86	36.6	25.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KAP1992001PGP	7569	1992	N	L	24	73	24.3	22.36	167.0586	28.9523	22.8337	4.4081	196.0109	27.2418	223.2527
SR5004PSP	9147	1993	N	L	11	40	3	5.4	1.5957	0.3794	0.2121	0.1463	1.9751	0.3584	2.3335
SR0019PSP	8957	2000	N	L	15	40	18	16.8	104.6727	12.9417	38.3137	5.2626	117.6144	43.5763	161.1907
1253116PIP	6733	2012	N	L	15	12	15.2	12.9	42.2502	6.5876	7.5012	7.6787	48.8378	15.1799	64.0176
SR5021PSP	9159	1995	N	L	22	42	3.8	4.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2002103PGP	5928	2007	N	L	595	25	24.3	16.9	145.6357	14.3355	28.1075	9.3940	159.9711	37.5015	197.4727
SR1210PSP	9011	1994	N	L	10	136	68.8	29.42	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1004PSP	8988	1993	N	L	5	78	24	20.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NBOR021PGP	12422	2003	N	L	2	41	34	26.3	545.9550	74.9725	179.3277	13.4654	620.9275	192.7931	813.7206
HEM_BRUT494PGP	12092	1991	N	L	14	1001	12.3	11.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE4110PSP	8830	2014	N	L	77	2	2.9	3.1	0.3145	0.2362	0.1192	0.3848	0.5507	0.5039	1.0546
SR5417PSP	9194	1995	N	L	8	124	10.7	15.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1001PSP	8985	2007	N	L	36	44	7.8	14.6	18.5542	1.5084	4.6651	1.1063	20.0626	5.7714	25.8340
SR2209PSP	9048	1995	N	L	17	55	24.2	17.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOR2013002PSP	11781	2013	N	L	50	14	37.1	19.6	357.3566	40.3648	79.2953	38.8327	397.7214	118.1279	515.8494
1225561PIP	10282	2016	N	L	5	903	18.3	11	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2002047PGP	5874	2007	N	L	83	12	31.7	23.04	278.0044	33.3913	36.0846	23.1957	311.3957	59.2804	370.6761
SR4012PSP	9097	1995	N	L	110	170	5.3	6.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0208PSP	8968	1993	N	L	45	111	6.9	6.94	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK598PGP	12146	1991	N	L	18	19	35	17	276.4815	52.6996	71.8300	33.4435	329.1811	105.2735	434.4547
SR0407PSP	8984	1997	N	L	4	47	11.2	20.4	41.5569	10.0718	4.9154	1.7925	51.6287	6.7078	58.3365
CE7004PSP	8882	1994	N	L	24	30	2.7	4.97	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1401PSP	9018	2012	N	L	31	56	32.1	20.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE4116PSP	8836	2021	N	L	90	56	25	20.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE7012PSP	8890	1994	N	L	81	32	30.3	26.54	378.1386	35.4029	83.8201	9.1979	413.5415	93.0180	506.5595
SR1202PSP	9003	2013	N	L	76	46	3.7	8.2	2.6818	0.5711	0.7219	0.4011	3.2528	1.1230	4.3758
CE2013PSP	8756	1993	N	L	14	41	3.3	5.25	1.4093	0.5634	0.0850	0.3676	1.9727	0.4527	2.4253
SR0208PSP	8968	1998	N	L	16	68	15.1	15	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1209PSP	9010	2000	N	L	20	94	16.3	17.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1993	N	L	13	78	7.7	10.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARGS142PGP	11932	1977	N	L	17	51	32.3	24.99	299.6559	57.0370	66.4582	8.4949	356.6929	74.9531	431.6460
SR0207PSP	8967	1993	N	L	69	123	9.9	11.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1992	N	L	53	33	5	8.24	4.4689	0.6674	0.6823	2.0503	5.1364	2.7325	7.8689
SR0003PSP	8943	1997	N	L	25	123	9.8	13.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACH_MPGP	12071	1958	N	L	58	1	16	14	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOR2013002PSP	11781	2013	N	L	36	14	18.7	12.1	58.7907	10.1238	8.1911	8.1947	68.9145	16.3858	85.3003
SR1022PSP	8999	2005	N	L	73	170	6.4	9.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE7007PSP	8885	1994	N	L	31	46	9.5	10.35	18.3181	3.2390	6.3426	1.2967	21.5570	7.6392	29.1963
SR0209PSP	8969	1998	N	L	16	60	68.4	32.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LWP1999024PSP	3132	1999	N	L	123	70	5.3	6.21	18.7819	1.1221	0.5222	0.4066	19.9040	0.9288	20.8328
SR4423PSP	9140	1999	N	L	63	123	30.3	15.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	76	5	7.4	4.82	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LWP1994013PSP	2922	1994	N	L	137	22	26.5	10	68.5236	10.8661	25.3534	18.8864	79.3897	44.2398	123.6295
FCTEM2001093PGP	5802	2014	N	L	204	12	23.2	14.8	103.1776	14.7552	22.1510	18.0362	117.9329	40.1872	158.1201
CE0015PSP	8661	1994	N	L	22	30	2.5	3.66	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	55	5	31.7	13.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE3002PSP	8761	1998	N	L	11	1	45.2	29.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COC1994017PSP	3280	2017	N	L	256	903	11	8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCBOW12-2003-011PGP	5120	2008	N	L	102	25	2.8	4.16	0.7892	0.1591	0.1629	0.3339	0.9483	0.4967	1.4450
ARGS168PGP	11958	1982	N	L	5	56	11.2	14.33	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE1010PSP	8717	1993	N	L	56	1	4.5	4.43	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARGS025PGP	11816	1982	N	L	2	75	29.2	24.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1997	N	L	64	42	30.4	19.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	65	5	9.2	6.71	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0208PSP	8968	1998	N	L	43	111	10.4	13.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5404PSP	9181	1998	N	L	49	55	28.1	21.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACH_CPGP	12061	1984	N	L	41	12	33.5	28.2	373.7092	41.8090	35.1359	21.1374	415.5181	56.2733	471.7915
SR4002PSP	9087	1993	N	L	46	46	23.6	19	184.4679	23.3859	51.6436	5.4307	207.8539	57.0743	264.9282
SR1005PSP	8989	2013	N	L	17	44	12.4	12.7	43.2834	3.3205	14.0280	2.2765	46.6039	16.3045	62.9084
HEM_DICK615PGP	12149	1992	N	L	3	19	15.7	9	34.1686	7.9319	11.5116	9.8208	42.1005	21.3324	63.4329
SR5211PSP	9171	1994	N	L	24	56	10.7	12	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4424PSP	9141	1995	N	L	130	123	18.1	15.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4219PSP	9117	1994	N	L	78	51	12.1	14.6	26.3406	6.4743	5.8301	1.4087	32.8149	7.2388	40.0537
SR1013PSP	8991	1995	N	L	110	90	8	11.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR2203PSP	9042	2009	N	L	14	50	26.5	14.5	173.7354	24.2516	51.1040	5.9968	197.9870	57.1008	255.0878
NOR2016001PSP	11788	2016	N	L	3	70	27.6	27.7	5183.1979	50.3764	25.9966	5.2240	5233.5743	31.2206	5264.7949
CE1017PSP	8722	2022	N	L	72	2	50.8	19.6	583.0576	43.0805	214.2856	81.0709	626.1381	295.3564	921.4946
SR0406PSP	8983	1993	N	L	29	86	22.6	19.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FECGY920PGP	12843	2001	N	L	21	32	35.1	19.9	411.1174	48.1460	119.4813	11.4508	459.2633	130.9320	590.1954
SR1216PSP	9015	2010	N	L	42	40	26.3	22.5	267.6727	27.8161	123.7268	11.9130	295.4888	135.6397	431.1285
BY_T1CTPGP	3510	2006	N	L	18	58	16.4	12.6	57.7094	8.9943	11.1601	2.9409	66.7036	14.1010	80.8046
CHT2002039PGP	7069	2002	N	L	206	22	7.4	4.62	3.7705	0.6933	2.0142	2.0536	4.4638	4.0678	8.5316
SR1001PSP	8985	1992	N	L	86	44	4.8	6.07	3.7321	0.3301	1.4727	0.5195	4.0622	1.9922	6.0544
FCTEM2003027PGP	5983	2013	N	L	823	20	25.7	19.9	150.9283	26.6958	21.2491	15.6249	177.6240	36.8740	214.4981
FCWEY4S2002017PGP	6444	2007	N	L	1	74	12.6	13.2	29.5439	6.7871	4.5751	1.6296	36.3310	6.2047	42.5357
CE4121PSP	8841	2006	N	L	25	37	44.5	21.2	693.3809	96.6980	277.5791	21.3821	790.0788	298.9613	1089.0401
KAP1992001PSP	3363	2002	N	L	24	20	17	12.91	48.6321	8.7491	8.7462	8.9541	57.3812	17.7003	75.0815
SR1004PSP	8988	1998	N	L	5	78	24.9	24	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE1035PSP	8740	1994	N	L	2	37	10.6	14.09	30.3431	3.9089	9.0644	3.4260	34.2519	12.4904	46.7423
CE4134PSP	8854	1995	N	L	41	38	34.8	21.04	426.5995	67.5059	114.5913	16.8826	494.1054	131.4740	625.5793
SR5023PSP	9160	1999	N	L	47	5	26.3	14.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARGS111PGP	11901	1977	N	L	18	44	26.4	24.38	318.6778	21.7956	84.4103	7.3816	340.4734	91.7919	432.2653
SR5023PSP	9160	1996	N	L	3	5	28.9	14.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_BRUT497PGP	12093	1991	N	L	9	139	12.7	12	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1216PSP	9015	2000	N	L	41	40	35	23.9	460.6426	46.8185	239.5049	18.4009	507.4612	257.9059	765.3671
HEM_PECK614PGP	12246	1991	N	L	31	14	6.9	5	3.2930	1.3528	0.3010	0.8516	4.6457	1.1526	5.7984
SR5416PSP	9193	1995	N	L	30	169	34.6	25.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4417PSP	9137	1994	N	L	42	123	19.5	21.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0206PSP	8966	1993	N	L	54	78	5.5	6.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A
