SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
1,Eastern White Pine,ACH_BPGP,43.4,30.7,680.2,95.56,35.08,76.23
1,Eastern White Pine,SR0406PSP,37.1,24.7,401.9,59.81,28.11,58.49
2,Red Pine,ACH_KPGP,30.7,21.7,273.4,21.01,23.1,34.48
2,Red Pine,WWA1993003PSP,4,3.54,0.6634,0.4094,0.7414,0.3022
2,Red Pine,CE4113PSP,30.6,27.57,373.6,23.37,19.21,25.62
2,Red Pine,CE1039PSP,8.9,7.94,8.008,2.008,2.663,1.729
2,Red Pine,CE3000PSP,6.8,8.2,5.187,1.354,1.384,0.6687
2,Red Pine,FCBOW56-2005-14PGP,3.8,4.8,0.9078,0.4362,0.5251,0.1766
2,Red Pine,CE2007PSP,33.9,17.2,239.3,21.93,34.59,63.66
2,Red Pine,CE3000PSP,18.5,21,106.6,9.588,7.22,6.45
2,Red Pine,CE1008PSP,7.1,5.4,3.215,1.191,2.084,1.274
2,Red Pine,CE4110PSP,2.9,3.1,0.3145,0.2362,0.3848,0.1192
2,Red Pine,CE1017PSP,50.8,19.6,583.1,43.08,81.07,214.3
2,Red Pine,ACH_CPGP,33,26.77,410.7,25.86,23.43,34.27
2,Red Pine,ACH_CPGP,26.4,25.1,253.8,17.88,14.57,17.38
2,Red Pine,CE3004PSP,16.8,16.8,66.83,7.467,6.79,6.075
2,Red Pine,CE0067PSP,14.3,15.17,43.86,5.575,5.019,3.976
2,Red Pine,ACH_HPGP,30.5,20.1,244.1,20.08,24.07,36.95
2,Red Pine,CE1033PSP,38.1,23.26,439.6,30.13,36.41,65.94
2,Red Pine,ACH_APGP,4.8,6.4,2.013,0.711,0.7343,0.2763
2,Red Pine,LWP1993001PSP,17.7,21.44,101.4,9.052,6.41,5.418
2,Red Pine,CE2015PSP,21.3,17.9,110.7,11.03,11.3,12.58
2,Red Pine,ACH_KPGP,17.8,17,75.22,8.197,7.708,7.285
2,Red Pine,CE1000PSP,21,15.55,89.57,10.11,12.13,14.18
2,Red Pine,CE2007PSP,3.3,3.1,0.3955,0.2874,0.5209,0.1846
2,Red Pine,CE1011PSP,14.9,10.36,28.42,4.971,7.322,7.206
3,Jack Pine,FCABI200418PGP,4,6.52,2.136,0.3955,NotAv,0.2038
3,Jack Pine,FCTEM2003059PGP,22.6,17.5,135.9,11.36,NotAv,15.43
3,Jack Pine,FCBOW12-9A-0PGP,18,17.3,91.25,7.842,NotAv,7.781
3,Jack Pine,KLK1994027PSP,13.3,11.37,32.46,3.764,NotAv,4.656
3,Jack Pine,FCABI200523PGP,31,19.16,259.5,19.88,NotAv,37.12
3,Jack Pine,GGM1994017PSP,32,24.7,375.6,24.33,NotAv,31.88
3,Jack Pine,FCDOM200334PGP,29,24.04,307.5,20.46,NotAv,24.22
3,Jack Pine,FCWEY4S2001059PGP,33.8,24.9,416.1,26.69,NotAv,37.39
3,Jack Pine,FCWEY4S2002009PGP,14.7,10.6,35.22,4.236,NotAv,6.774
3,Jack Pine,FCBOW4-2002-11PGP,5.6,6.28,3.597,0.6625,NotAv,0.5918
3,Jack Pine,FCDOM200436PGP,26.1,20.95,216.9,15.92,NotAv,20.09
3,Jack Pine,FCWEY4S2001040PGP,19.9,14,83.05,8.116,NotAv,13.02
3,Jack Pine,GGM1994002PSP,14.5,18.55,69.09,5.784,NotAv,3.751
3,Jack Pine,1191036PIP,23.3,19.4,162.7,12.69,NotAv,15.31
3,Jack Pine,LSJP1993031PSP,5.7,5.42,3.085,0.6243,NotAv,0.7218
3,Jack Pine,LSJP1993002PSP,11.5,8.55,17.8,2.517,NotAv,3.948
3,Jack Pine,FCWEY4S2002024PGP,4,5.5,1.728,0.3574,NotAv,0.2409
3,Jack Pine,FCBOW12-2002-13PGP,7.2,4.71,3.842,0.8344,NotAv,1.693
3,Jack Pine,GGM1994025PSP,35.6,24.72,450.1,28.87,NotAv,44.13
3,Jack Pine,PIK2001004PSP,9.9,12.25,21.64,2.454,NotAv,1.754
3,Jack Pine,FCABI200528PGP,8,12.12,14.9,1.734,NotAv,0.9239
3,Jack Pine,FCWEY4S2002053PGP,5.1,4.93,2.272,0.4939,NotAv,0.5638
3,Jack Pine,FCTEM2003070PGP,25.4,14.48,130.8,12.23,NotAv,26.56
3,Jack Pine,WWA1995022PSP,35.4,26.97,497.0,30.13,NotAv,39.82
5,Pitch Pine,SR5023PSP,16.8,10.6,178.1,178.1,178.1,178.1
5,Pitch Pine,SR5023PSP,23.2,11.1,257.5,257.5,257.5,257.5
5,Pitch Pine,SR5023PSP,28.4,9.5,269.8,269.8,269.8,269.8
5,Pitch Pine,SR5023PSP,11.7,8.1,94.77,94.77,94.77,94.77
5,Pitch Pine,SR5023PSP,3.4,3.47,11.8,11.8,11.8,11.8
