PlotName	PlotKey	FieldSeasonYear	StandOriginCode	TreeStatusCode	TreeNum	SpecCode	DBH	HtTot
LSJP1994009PSP	3472	2013	N	L	96	12	8	5.35
SR5004PSP	9147	1993	N	L	44	40	49.8	21.3
FCBOW56-020-0PGP	4878	2006	N	L	105	20	30.4	19.25
ARGS127PGP	11917	1998	N	L	53	37	8.2	8.2
GGM1994013PSP	3310	1994	N	L	43	12	27.4	21.36
LWP1995051PSP	2925	2003	N	L	447	38	8.4	12.16
SR5003PSP	9146	1992	N	L	14	123	6	5.45
FCTEM2003059PGP	6030	2013	N	L	120	3	22.6	17.5
CE3000PSP	8759	1997	N	L	6	2	6.8	8.2
LD1905PGP	10763	2011	N	L	16	37	7.5	9.7
SR0209PSP	8969	1998	N	L	29	60	24.4	28.9
CE0012PSP	8658	1994	N	L	52	30	2.7	5.18
SR5417PSP	9194	1999	N	L	12	170	25.7	18.7
CE4122PSP	8842	1995	N	L	31	19	9.9	9.08
SR1202PSP	9003	2000	N	L	38	124	25.5	24
SR5404PSP	9181	1993	N	L	37	177	31.7	25.8
SR2230PSP	9061	1995	N	L	10	117	9.9	12.2
FCBOW12-9A-0PGP	4688	2010	N	L	466	3	18	17.3
HEM_DEVI944PGP	12137	1992	N	L	7	19	44.5	22
HEM_LAWR130PGP	12194	1991	N	L	20	14	24.1	20
SR2231PSP	9062	2001	N	L	102	33	26.7	20.3
HEM_DICK711PGP	12155	1990	N	L	33	1001	7.5	11
SR3009PSP	9073	1994	N	L	47	41	9.6	13
SR0405PSP	8982	1993	N	L	51	86	46.3	27.4
SR4406PSP	9127	1999	N	L	2	169	21.1	19.1
SR1001PSP	8985	1992	N	L	100	55	2.5	5.65
SR0012PSP	8952	1998	N	L	20	44	10.5	10.9
1239491PIP	10556	2017	N	L	70	1005	11.9	10
MAN1994007PSP	2935	2006	N	L	53	74	9.1	15.05
SR5416PSP	9193	1998	N	L	43	169	8.2	8.3
FCTEM2002099PGP	5924	2014	N	L	29	20	21.4	14.4
SR5417PSP	9194	1999	N	L	12	42	52.4	21.8
BP1994009PSP	3219	2021	N	L	203	38	21.2	19.6
NOR2013002PSP	11781	2013	N	L	64	14	21.5	18.6
SR1002PSP	8986	2013	N	L	13	89	40.9	31.8
SR0404PSP	8981	1998	N	L	21	41	40.2	28.5
BP1994005PSP	3215	1994	N	L	496	38	12	12.21
SR4424PSP	9141	1998	N	L	52	169	30	18.8
SR1210PSP	9011	1994	N	L	28	136	2.5	3.78
SR1015PSP	8992	1994	N	L	95	88	26.9	16.71
SR0016PSP	8956	1995	N	L	59	40	7.1	7.01
SR5404PSP	9181	2012	N	L	37	177	40.9	29.5
SR0217PSP	8977	1995	N	L	51	47	26.1	20.3
FCBOW78-2626-6PGP	4816	2004	N	L	75	12	9.3	8.91
SR1201PSP	9002	2007	N	L	22	90	31.9	22.2
SR0003PSP	8943	1993	N	L	38	46	8.9	14.22
FCDOM200244PGP	5471	2002	N	L	83	41	21.5	19.9
SR5023PSP	9160	1996	N	L	36	5	23.2	11.1
CE0006PSP	8652	2020	N	L	81	139	11.3	13.4
FCBOW56-027-0PGP	4882	2001	N	L	637	25	2.6	4.72
KLK1994027PSP	3417	1994	N	L	10	3	13.3	11.37
SR5023PSP	9160	1996	N	L	58	5	28.4	9.5
1232631PIP	6718	2012	N	L	105	32	16.6	12.57
SR0205PSP	8965	1993	N	L	3	111	16.1	6.75
SR5407PSP	9184	1995	N	L	37	169	16.9	11.8
FCTEM2001018PGP	5811	2001	N	L	186	12	4.3	4.26
CE7006PSP	8884	2004	N	L	21	51	11	12.4
BAN2004025PGP	12332	2004	N	L	34	139	17.7	13.3
FCTEM_KAP2000046PGP	5728	2005	N	L	132	13	21	16.27
LD1605PGP	10750	2007	N	L	4	58	31.1	24.4
SR0210PSP	8970	1998	N	L	69	47	3.6	7.8
ACH_NPGP	12072	1963	N	L	74	75	23.4	17.7
LD1501PGP	10740	2002	N	L	75	58	20	19.1
SR5007PSP	9150	1999	N	L	20	169	6.1	6.3
ACH_APGP	12059	1952	N	L	116	1	17.3	16.8
SR2205PSP	9044	2015	N	L	52	46	7.5	10.6
SR4424PSP	9141	1995	N	L	52	169	29.4	17.7
SR0008PSP	8948	1994	N	L	1	33	19.2	16.8
SR4426PSP	9142	1995	N	L	46	94	42.1	19.5
ARGS242PGP	12032	1977	N	L	10	37	23.4	12.8
COC2019002PSP	10594	2019	N	L	59	903	9	9.9
SR5024PSP	9161	1997	N	L	6	124	4.2	7.06
SR4408PSP	9129	1998	N	L	142	51	3.4	4.7
FCBOW56-2005-14PGP	5165	2018	N	L	1	2	3.8	4.8
ARGS060PGP	11851	1977	N	L	33	19	26.7	17.37
SR5416PSP	9193	2010	N	L	46	169	14.8	18
SR5007PSP	9150	1999	N	L	58	46	2.9	4.8
ARGS061PGP	11852	1982	N	L	22	30	43.9	23.47
COC1994001PSP	3264	2016	N	L	136	20	8.2	7
CE2007PSP	8751	1998	N	L	38	2	33.9	17.2
SR1017PSP	8994	1994	N	L	64	41	12.4	13.2
SR0205PSP	8965	1993	N	L	57	50	7.2	9.47
FCACI_FF200501PGP	4631	2010	N	L	39	45	16	14.8
SR1004PSP	8988	1993	N	L	3	78	28.5	22.3
SR4401PSP	9122	1992	N	L	21	58	4.1	4.9
SR0204PSP	8964	1993	N	L	51	33	3.7	5.71
SR0205PSP	8965	1993	N	L	34	60	9.2	13.7
SR5414PSP	9191	1999	N	L	288	47	16.3	13.2
1239161PIP	10222	2016	N	L	118	25	11.6	13.5
SR4426PSP	9142	1999	N	L	45	94	25.8	21.3
HEM_DICK611PGP	12148	1992	N	L	40	19	3.6	3.6
SR0201PSP	8961	1997	N	L	25	39	35.2	20.8
SR3011PSP	9075	2008	N	L	35	170	5.7	6.2
SR1015PSP	8992	1994	N	L	83	88	20.9	18.5
SR5023PSP	9160	1996	N	L	50	5	11.7	8.1
CE7003PSP	8881	2005	N	L	89	12	3.1	2.6
1259801PIP	223	2011	N	L	98	38	2.6	5.8
SR5014PSP	9156	1994	N	L	31	33	16.3	17.3
SR4001PSP	9086	1993	N	L	2	123	23.2	25.3
SR4421PSP	9139	1995	N	L	1	41	11.7	13.1
ACH_NPGP	12072	1978	N	L	74	75	25.4	19.5
LSJP1993012PSP	3446	1993	N	L	162	13	16.6	11.05
CE3000PSP	8759	1997	N	L	55	2	18.5	21
HEA1993008PSP	3344	2006	N	L	1	73	9.6	7.93
SR0213PSP	8973	1994	N	L	17	50	6.8	9.34
LD2603PGP	10639	2022	N	L	162	1001	7.7	9.6
HEM_DICK604PGP	12147	1991	N	L	63	19	4.9	8
FCTEM2004058PGP	6158	2004	N	L	556	12	24.5	18.12
SR0208PSP	8968	1998	N	L	31	68	11.7	15.1
CE7005PSP	8883	1994	N	L	7	46	15.2	15.4
FCABI200523PGP	4578	2005	N	L	188	3	31	19.16
HEM_CLAN294PGP	12118	1992	N	L	12	139	16.5	15
SR0204PSP	8964	1993	N	L	40	42	9.4	12.2
SR0205PSP	8965	1993	N	L	109	78	43.6	19
CE4117PSP	8837	1995	N	L	25	51	32.5	19.86
SR0211PSP	8971	1994	N	L	62	47	10.9	12.3
SR5024PSP	9161	1997	N	L	49	117	5.1	4.6
1225636PIP	6721	2012	N	L	30	903	12.8	8.8
SR1202PSP	9003	1993	N	L	73	124	24.2	21.5
FCABI200547PGP	4607	2010	N	L	318	37	17	11.42
CE4118PSP	8838	1995	N	L	29	30	10.3	12.4
SR0206PSP	8966	1993	N	L	43	111	15	9.53
SR0201PSP	8961	1997	N	L	111	42	38	24.3
CE3030PSP	8789	2010	N	L	67	22	37.9	16.2
SR1003PSP	8987	2008	N	L	45	58	28.2	20
HEM_LAWR224PGP	12199	1990	N	L	19	19	23	16
SR0021PSP	8959	1995	N	L	47	58	6.8	6.17
SR0020PSP	8958	1994	N	L	17	30	2.6	5.86
SR0405PSP	8982	1993	N	L	2	86	43.2	30.8
SR0019PSP	8957	1995	N	L	37	40	17.1	17.6
SR1207PSP	9008	2000	N	L	35	90	30.9	26.2
FCWEY_KEN2003016PGP	6495	2003	N	L	240	13	13.6	14.01
1328611PIP	60	2008	N	L	28	42	13.3	6.2
CE5007PSP	8863	2001	N	L	54	41	9.4	11.9
HEM_DICK300PGP	12144	1991	N	L	3	19	12.3	10
SR1001PSP	8985	1992	N	L	93	1196	2.7	5.44
SR4406PSP	9127	1999	N	L	50	46	11.3	13.8
SR0201PSP	8961	1997	N	L	40	50	15.3	14.6
ARGS061PGP	11852	1982	N	L	26	56	9.4	12.8
ARGS266PGP	12056	1982	N	L	28	51	16.3	18.29
SR1023PSP	9000	1995	N	L	70	124	29.5	22.8
SR1401PSP	9018	1992	N	L	31	56	29.6	16.5
SR0205PSP	8965	1998	N	L	94	88	29.6	21.9
LD1501PGP	10740	2010	N	L	23	30	6.6	6.6
SR0012PSP	8952	1998	N	L	23	60	60.3	25.9
SR1003PSP	8987	1998	N	L	62	51	57.4	29.7
SR2206PSP	9045	1993	N	L	32	44	4.9	7.32
SR0201PSP	8961	1992	N	L	124	94	7.5	10.6
1273811PIP	6795	2013	N	L	76	56	6	6.2
SR5404PSP	9181	2012	N	L	60	177	10.7	14.1
SR0201PSP	8961	1992	N	L	73	33	13.4	13.91
GGM1994017PSP	3314	1994	N	L	37	3	32	24.7
CE3030PSP	8789	1999	N	L	6	45	31.3	20.9
SR0206PSP	8966	1998	N	L	47	50	52.7	27.8
SR2211PSP	9049	2001	N	L	9	55	22	20.5
CE1027PSP	8732	1993	N	L	4	20	3	2.9
HEM_DICK862PGP	12157	1990	N	L	30	1001	8.5	15
ACH_MPGP	12071	1953	N	L	32	1	26.7	21.3
CE7014PSP	8892	2004	N	L	50	1	4	4.1
LWP1994013PSP	2922	2003	N	L	149	1	19.9	11.49
SR0013PSP	8953	1994	N	L	46	44	16	16.2
SR1213PSP	9014	2000	N	L	25	90	3.3	5.2
FCDOM200139PGP	5390	2006	N	L	19	38	11.7	11.51
SR5020PSP	9158	1999	N	L	32	47	5.9	10.9
BY_MCPGP	3508	2006	N	L	67	139	9.7	12.9
SR0217PSP	8977	2000	N	L	13	78	19.3	14.5
SR5009PSP	9152	1998	N	L	21	111	2.9	5.15
IFF1993009PSP	3361	2018	N	L	205	903	7.8	9.6
