Species,Parameter,Estimate
Grey birch,b_foliage2,2.6447
Grey birch,b_foliage3,-1.4955
Hickory,b_wood1,0.0139
Hickory,b_wood2,1.5913
Hickory,b_wood3,1.508
Hickory,b_bark1,0.0081
Hickory,b_bark2,1.4943
Hickory,b_bark3,1.1324
Hickory,b_branches1,0.005
Hickory,b_branches2,3.0463
Hickory,b_branches3,0
Hickory,b_foliage1,0.0121
Hickory,b_foliage2,2.0865
Hickory,b_foliage3,0
Hop-hornbeam,b_wood1,0.0083
Hop-hornbeam,b_wood2,1.6534
Hop-hornbeam,b_wood3,1.7479
Hop-hornbeam,b_bark1,0.0012
Hop-hornbeam,b_bark2,1.1486
Hop-hornbeam,b_bark3,2.2903
Hop-hornbeam,b_branches1,0.0009
Hop-hornbeam,b_branches2,1.9152
Hop-hornbeam,b_branches3,1.7769
Hop-hornbeam,b_foliage1,0.0247
Hop-hornbeam,b_foliage2,2.0056
Hop-hornbeam,b_foliage3,0
Jack pine,b_wood1,0.0199
Jack pine,b_wood2,1.6883
Jack pine,b_wood3,1.2456
Jack pine,b_bark1,0.0141
Jack pine,b_bark2,1.5994
Jack pine,b_bark3,0.5957
Jack pine,b_branches1,0.0185
Jack pine,b_branches2,3.0584
Jack pine,b_branches3,-0.9816
Jack pine,b_foliage1,0.0325
Jack pine,b_foliage2,1.7879
Jack pine,b_foliage3,0
Largetooth aspen,b_wood1,0.0128
Largetooth aspen,b_wood2,2.0633
Largetooth aspen,b_wood3,0.9516
Largetooth aspen,b_bark1,0.024
Largetooth aspen,b_bark2,2.3055
Largetooth aspen,b_bark3,0
Largetooth aspen,b_branches1,0.0131
Largetooth aspen,b_branches2,3.1274
Largetooth aspen,b_branches3,-0.8379
Largetooth aspen,b_foliage1,0.0382
Largetooth aspen,b_foliage2,2.1673
Largetooth aspen,b_foliage3,-0.6842
Lodgepole pine,b_wood1,0.0202
Lodgepole pine,b_wood2,1.7179
Lodgepole pine,b_wood3,1.2078
Lodgepole pine,b_bark1,0.0099
Lodgepole pine,b_bark2,1.6049
Lodgepole pine,b_bark3,0.7456
Lodgepole pine,b_branches1,0.044
Lodgepole pine,b_branches2,3.719
Lodgepole pine,b_branches3,-2.0399
Lodgepole pine,b_foliage1,0.0785
Lodgepole pine,b_foliage2,2.5377
Lodgepole pine,b_foliage3,-1.1213
Red ash,b_wood1,0.0224
Red ash,b_wood2,1.7845
Red ash,b_wood3,1.066
Red ash,b_bark1,0.0219
Red ash,b_bark2,1.4190
Red ash,b_bark3,0.8963
Red ash,b_branches1,0.0176
Red ash,b_branches2,2.3313
Red ash,b_branches3,0
Red ash,b_foliage1,0.0761
Red ash,b_foliage2,1.3077
Red ash,b_foliage3,0
Red maple,b_wood1,0.0315
Red maple,b_wood2,2.0342
Red maple,b_wood3,0.7485
Red maple,b_bark1,0.0283
Red maple,b_bark2,2.0907
Red maple,b_bark3,0
Red maple,b_branches1,0.0225
Red maple,b_branches2,2.4106
Red maple,b_branches3,0
Red maple,b_foliage1,0.0571
Red maple,b_foliage2,1.4898
Red maple,b_foliage3,0
Red oak,b_wood1,0.0285
Red oak,b_wood2,1.8501
Red oak,b_wood3,1.0204
Red oak,b_bark1,0.0326
Red oak,b_bark2,1.81
Red oak,b_bark3,0.4153
Red oak,b_branches1,0.0013
Red oak,b_branches2,3.0637
Red oak,b_branches3,0.3153
Red oak,b_foliage1,0.0582
Red oak,b_foliage2,1.5438
Red oak,b_foliage3,0
Red pine,b_wood1,0.0106
Red pine,b_wood2,1.7725
Red pine,b_wood3,1.3285
Red pine,b_bark1,0.0277
Red pine,b_bark2,1.5192
Red pine,b_bark3,0.4645
Red pine,b_branches1,0.0125
Red pine,b_branches2,3.3865
Red pine,b_branches3,-1.1939
Red pine,b_foliage1,0.0731
Red pine,b_foliage2,2.3439
Red pine,b_foliage3,-0.7378
Red spruce,b_wood1,0.0143
Red spruce,b_wood2,1.6441
Red spruce,b_wood3,1.4065
Red spruce,b_bark1,0.0274
Red spruce,b_bark2,2.0188
Red spruce,b_bark3,0
Red spruce,b_branches1,0.0005
Red spruce,b_branches2,3.3136
Red spruce,b_branches3,0
Red spruce,b_foliage1,0.0106
Red spruce,b_foliage2,2.2709
Red spruce,b_foliage3,0
Silver maple,b_wood1,0.0274
Silver maple,b_wood2,1.7126
Silver maple,b_wood3,1.1086
Silver maple,b_bark1,0.0123
Silver maple,b_bark2,1.825
Silver maple,b_bark3,0.501
Silver maple,b_branches1,0.0543
Silver maple,b_branches2,3.7343
Silver maple,b_branches3,-1.6497
Silver maple,b_foliage1,6.6808
Silver maple,b_foliage2,2.1092
Silver maple,b_foliage3,-2.1697
Sugar maple,b_wood1,0.0301
Sugar maple,b_wood2,2.0313
Sugar maple,b_wood3,0.8171
Sugar maple,b_bark1,0.0103
Sugar maple,b_bark2,1.7111
Sugar maple,b_bark3,0.8509
Sugar maple,b_branches1,0.0661
Sugar maple,b_branches2,2.594
Sugar maple,b_branches3,-0.4933
Sugar maple,b_foliage1,2.5019
Sugar maple,b_foliage2,2.4527
Sugar maple,b_foliage3,-2.3008
Tamarack larch,b_wood1,0.0276
Tamarack larch,b_wood2,1.6724
Tamarack larch,b_wood3,1.1443
Tamarack larch,b_bark1,0.012
Tamarack larch,b_bark2,1.7059
Tamarack larch,b_bark3,0.5811
Tamarack larch,b_branches1,0.0336
Tamarack larch,b_branches2,3.1335
Tamarack larch,b_branches3,-1.1559
Tamarack larch,b_foliage1,0.1324
Tamarack larch,b_foliage2,2.114
Tamarack larch,b_foliage3,-0.8781
Trembling aspen,b_wood1,0.0142
Trembling aspen,b_wood2,1.9389
Trembling aspen,b_wood3,1.0572
Trembling aspen,b_bark1,0.0063
Trembling aspen,b_bark2,2.0819
Trembling aspen,b_bark3,0.6617
Trembling aspen,b_branches1,0.0137
Trembling aspen,b_branches2,2.927
Trembling aspen,b_branches3,-0.6221
Trembling aspen,b_foliage1,0.027
Trembling aspen,b_foliage2,1.6183
Trembling aspen,b_foliage3,0
White ash,b_wood1,0.0224
White ash,b_wood2,1.7438
White ash,b_wood3,1.1899
White ash,b_bark1,0.0126
White ash,b_bark2,1.6456
White ash,b_bark3,0.7893
White ash,b_branches1,0.0354
White ash,b_branches2,2.3046
White ash,b_branches3,0
White ash,b_foliage1,0.0195
White ash,b_foliage2,1.0509
White ash,b_foliage3,0.7836
White birch,b_wood1,0.0338
White birch,b_wood2,2.0702
White birch,b_wood3,0.6876
White birch,b_bark1,0.008
White birch,b_bark2,1.9754
White birch,b_bark3,0.6659
White birch,b_branches1,0.0257
White birch,b_branches2,3.1754
White birch,b_branches3,-0.9417
White birch,b_foliage1,0.1415
White birch,b_foliage2,2.3074
White birch,b_foliage3,-1.1189
White elm,b_wood1,0.0207
White elm,b_wood2,2.2276
White elm,b_wood3,0.6488
White elm,b_bark1,0.0078
White elm,b_bark2,2.454
White elm,b_bark3,0
White elm,b_branches1,0.0393
White elm,b_branches2,2.188
White elm,b_branches3,0
White elm,b_foliage1,0.0516
White elm,b_foliage2,1.4511
White elm,b_foliage3,0
White oak,b_wood1,0.0442
White oak,b_wood2,1.6818
White oak,b_wood3,1.031
White oak,b_bark1,0.0308
White oak,b_bark2,1.7479
White oak,b_bark3,0.3504
White oak,b_branches1,0.0022
White oak,b_branches2,2.0165
White oak,b_branches3,1.3953
White oak,b_foliage1,0.0053
White oak,b_foliage2,1.2822
White oak,b_foliage3,1.1323
White spruce,b_wood1,0.0265
White spruce,b_wood2,1.7952
White spruce,b_wood3,0.9733
White spruce,b_bark1,0.0124
White spruce,b_bark2,1.6962
White spruce,b_bark3,0.6489
White spruce,b_branches1,0.0325
White spruce,b_branches2,2.8573
White spruce,b_branches3,-0.9127
White spruce,b_foliage1,0.202
White spruce,b_foliage2,2.3802
White spruce,b_foliage3,-1.1103
Yellow birch,b_wood1,0.0259
Yellow birch,b_wood2,1.9044
Yellow birch,b_wood3,0.9715
Yellow birch,b_bark1,0.0069
Yellow birch,b_bark2,2.0834
Yellow birch,b_bark3,0.5371
Yellow birch,b_branches1,0.0325
Yellow birch,b_branches2,2.3851
Yellow birch,b_branches3,0
Yellow birch,b_foliage1,0.1683
Yellow birch,b_foliage2,1.2764
Yellow birch,b_foliage3,0
Hardwood,b_wood1,0.0359
Hardwood,b_wood2,2.0263
Hardwood,b_wood3,0.6987
Hardwood,b_bark1,0.0094
Hardwood,b_bark2,1.8677
Hardwood,b_bark3,0.6985
Hardwood,b_branches1,0.0433
Hardwood,b_branches2,2.6817
Hardwood,b_branches3,-0.5731
Hardwood,b_foliage1,0.0859
Hardwood,b_foliage2,1.8485
Hardwood,b_foliage3,-0.5383
Softwood,b_wood1,0.0284
Softwood,b_wood2,1.6894
Softwood,b_wood3,1.0857
Softwood,b_bark1,0.01
Softwood,b_bark2,1.8463
Softwood,b_bark3,0.5616
Softwood,b_branches1,0.0301
