Species,Parameter,Estimate
Alpine fir,b_wood1,0.0528
Alpine fir,b_wood2,2.4309
Alpine fir,b_bark1,0.0108
Alpine fir,b_bark2,2.3876
Alpine fir,b_branches1,0.0121
Alpine fir,b_branches2,2.3519
Alpine fir,b_foliage1,0.0251
Alpine fir,b_foliage2,2.0389
Balsam fir,b_wood1,0.0534
Balsam fir,b_wood2,2.403
Balsam fir,b_bark1,0.0115
Balsam fir,b_bark2,2.3484
Balsam fir,b_branches1,0.007
Balsam fir,b_branches2,2.5406
Balsam fir,b_foliage1,0.084
Balsam fir,b_foliage2,1.6695
Balsam poplar,b_wood1,0.051
Balsam poplar,b_wood2,2.4529
Balsam poplar,b_bark1,0.0297
Balsam poplar,b_bark2,2.1131
Balsam poplar,b_branches1,0.012
Balsam poplar,b_branches2,2.4165
Balsam poplar,b_foliage1,0.0276
Balsam poplar,b_foliage2,1.6215
Basswood,b_wood1,0.0562
Basswood,b_wood2,2.4102
Basswood,b_bark1,0.0302
Basswood,b_bark2,2.0976
Basswood,b_branches1,0.023
Basswood,b_branches2,2.2382
Basswood,b_foliage1,0.0288
Basswood,b_foliage2,1.6378
Beech,b_wood1,0.1478
Beech,b_wood2,2.2986
Beech,b_bark1,0.012
Beech,b_bark2,2.2388
Beech,b_branches1,0.037
Beech,b_branches2,2.368
Beech,b_foliage1,0.0376
Beech,b_foliage2,1.6164
Black ash,b_wood1,0.0941
Black ash,b_wood2,2.3491
Black ash,b_bark1,0.0323
Black ash,b_bark2,2.0761
Black ash,b_branches1,0.0448
Black ash,b_branches2,1.9771
Black ash,b_foliage1,0.0538
Black ash,b_foliage2,1.3584
Black cherry,b_wood1,0.3743
Black cherry,b_wood2,1.9406
Black cherry,b_bark1,0.0679
Black cherry,b_bark2,1.8377
Black cherry,b_branches1,0.0796
Black cherry,b_branches2,2.0103
Black cherry,b_foliage1,0.084
Black cherry,b_foliage2,1.2319
Black spruce,b_wood1,0.0477
Black spruce,b_wood2,2.5147
Black spruce,b_bark1,0.0153
Black spruce,b_bark2,2.2429
Black spruce,b_branches1,0.0278
Black spruce,b_branches2,2.0839
Black spruce,b_foliage1,0.1648
Black spruce,b_foliage2,1.4143
Eastern hemlock,b_wood1,0.0619
Eastern hemlock,b_wood2,2.3821
Eastern hemlock,b_bark1,0.0139
Eastern hemlock,b_bark2,2.3282
Eastern hemlock,b_branches1,0.0217
Eastern hemlock,b_branches2,2.2653
Eastern hemlock,b_foliage1,0.0776
Eastern hemlock,b_foliage2,1.6995
Eastern redcedar,b_wood1,0.1277
Eastern redcedar,b_wood2,1.9778
Eastern redcedar,b_bark1,0.0377
Eastern redcedar,b_bark2,1.6064
Eastern redcedar,b_branches1,0.0254
Eastern redcedar,b_branches2,2.2884
Eastern redcedar,b_foliage1,0.055
Eastern redcedar,b_foliage2,1.8656
Eastern white-cedar,b_wood1,0.0654
Eastern white-cedar,b_wood2,2.2121
Eastern white-cedar,b_bark1,0.0114
Eastern white-cedar,b_bark2,2.1432
Eastern white-cedar,b_branches1,0.0335
Eastern white-cedar,b_branches2,1.9367
Eastern white-cedar,b_foliage1,0.0499
Eastern white-cedar,b_foliage2,1.7278
Eastern white pine,b_wood1,0.0997
Eastern white pine,b_wood2,2.2709
Eastern white pine,b_bark1,0.0192
Eastern white pine,b_bark2,2.2038
Eastern white pine,b_branches1,0.0056
Eastern white pine,b_branches2,2.6011
