plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
1115541	1	2016	Natural Stand	L 	13	448	11.6	10.9	22.6627	3.7339	5.2774	4.5948	9.8722	26.3966	36.2688
1115541	1	2016	Natural Stand	L 	13	449	9.9	8.8	15.214	2.617	4.2178	3.3025	7.5203	17.8309	25.3513
1115541	1	2016	Natural Stand	L 	13	450	10.7	8.72	18.4974	3.1153	4.7078	3.8831	8.5909	21.6126	30.2035
1115541	1	2016	Natural Stand	L 	13	451	9	8.1	11.9716	2.1133	3.6859	2.7076	6.3935	14.0849	20.4784
1115541	1	2016	Natural Stand	L 	13	452	10.7	7.61	18.4974	3.1153	4.7078	3.8831	8.5909	21.6126	30.2035
1115541	1	2016	Natural Stand	L 	13	453	10.7	7.1	18.4974	3.1153	4.7078	3.8831	8.5909	21.6126	30.2035
1115541	1	2016	Natural Stand	L 	13	454	7.8	6.11	8.3535	1.5331	3.0106	2.0095	5.02	9.8866	14.9066
1115541	1	2016	Natural Stand	L 	13	455	3.7	3.8	1.2805	0.2878	1.0485	0.4247	1.4732	1.5683	3.0415
1115541	1	2016	Natural Stand	L 	13	456	3.4	3.5	1.0352	0.2381	0.9303	0.3561	1.2864	1.2733	2.5597
1115541	1	2016	Natural Stand	L 	13	457	2.6	3.1	0.5273	0.1304	0.6366	0.2036	0.8402	0.6577	1.4979
1115541	1	2016	Natural Stand	L 	13	458	2.7	2.8	0.5798	0.142	0.6715	0.2203	0.8918	0.7218	1.6135
1122221	1	2010	Natural Stand	L 	13	616	8.5	6.28	10.3688	1.859	3.3997	2.4036	5.8032	12.2278	18.0311
1122221	1	2010	Natural Stand	L 	13	617	7.5	5.41	7.5689	1.404	2.8481	1.8518	4.6999	8.9729	13.6728
1122221	1	2010	Natural Stand	L 	13	618	5.7	5.19	3.7959	0.7587	1.9319	1.0452	2.9772	4.5546	7.5317
1122221	1	2010	Natural Stand	L 	13	619	7.6	5.12	7.8253	1.4463	2.902	1.9036	4.8055	9.2716	14.0772
1122221	1	2010	Natural Stand	L 	13	620	7.3	5.01	7.0716	1.3214	2.7413	1.7503	4.4916	8.393	12.8846
1122221	1	2010	Natural Stand	L 	13	621	6.1	4.84	4.5018	0.8833	2.1264	1.2039	3.3303	5.3851	8.7154
1122221	1	2010	Natural Stand	L 	13	622	6.5	4.8	5.2814	1.0185	2.3263	1.3743	3.7006	6.3	10.0005
1122221	1	2010	Natural Stand	L 	13	623	5.8	4.75	3.9656	0.7888	1.98	1.0838	3.0638	4.7544	7.8183
1122221	1	2010	Natural Stand	L 	13	624	5.4	4.65	3.3134	0.672	1.7897	0.9339	2.7236	3.9854	6.7089
1122221	1	2010	Natural Stand	L 	13	625	6.4	4.61	5.0795	0.9837	2.2758	1.3306	3.6064	6.0632	9.6696
1122221	1	2010	Natural Stand	L 	13	626	5	4.51	2.7303	0.5655	1.6051	0.7955	2.4006	3.2958	5.6964
1122221	1	2010	Natural Stand	L 	13	627	5.3	4.32	3.1612	0.6444	1.743	0.8982	2.6412	3.8056	6.4468
1122221	1	2010	Natural Stand	L 	13	628	7.2	4.32	6.8305	1.2812	2.6883	1.7007	4.3891	8.1117	12.5007
1122221	1	2010	Natural Stand	L 	13	629	4.1	4.09	1.6576	0.3623	1.2123	0.526	1.7384	2.02	3.7583
1122221	1	2010	Natural Stand	L 	13	630	2.9	3.03	0.6939	0.1666	0.7429	0.2556	0.9985	0.8606	1.8591
1122221	1	2010	Natural Stand	L 	13	631	2.6	2.54	0.5273	0.1304	0.6366	0.2036	0.8402	0.6577	1.4979
1122221	1	2022	Natural Stand	L 	13	661	9.2	7.1	12.6519	2.2201	3.8023	2.8345	6.6368	14.872	21.5088
1122221	1	2022	Natural Stand	L 	13	662	7.8	5.9	8.3535	1.5331	3.0106	2.0095	5.02	9.8866	14.9066
1122221	1	2022	Natural Stand	L 	13	663	6	5.6	4.3185	0.8512	2.0773	1.1631	3.2404	5.1697	8.4101
